topic,group,type,category
business,acquisitions-mergers,acquisition,acquisition-acquiree
business,acquisitions-mergers,acquisition,acquisition-acquirer
business,acquisitions-mergers,acquisition,acquisition-bid-rejected-acquiree
business,acquisitions-mergers,acquisition,acquisition-bid-rejected-acquirer
business,acquisitions-mergers,acquisition,acquisition-completed-acquiree
business,acquisitions-mergers,acquisition,acquisition-completed-acquirer
business,acquisitions-mergers,acquisition,acquisition-failed-acquiree
business,acquisitions-mergers,acquisition,acquisition-failed-acquirer
business,acquisitions-mergers,acquisition,acquisition-interest-acquiree
business,acquisitions-mergers,acquisition,acquisition-interest-acquirer
business,acquisitions-mergers,acquisition,acquisition-merger-termination-fee
business,acquisitions-mergers,acquisition,acquisition-opposition-acquiree
business,acquisitions-mergers,acquisition,acquisition-opposition-acquirer
business,acquisitions-mergers,acquisition-regulatory-approval,acquisition-regulatory-approval-acquiree
business,acquisitions-mergers,acquisition-regulatory-approval,acquisition-regulatory-approval-acquirer
business,acquisitions-mergers,acquisition-regulatory-scrutiny,acquisition-regulatory-scrutiny-acquiree
business,acquisitions-mergers,acquisition-regulatory-scrutiny,acquisition-regulatory-scrutiny-acquirer
business,acquisitions-mergers,acquisition,acquisition-rumor-acquiree
business,acquisitions-mergers,acquisition,acquisition-rumor-acquirer
business,acquisitions-mergers,acquisition,acquisition-rumor-denied-acquiree
business,acquisitions-mergers,acquisition,acquisition-rumor-denied-acquirer
business,acquisitions-mergers,,acquisition-scrutiny-acquiree
business,analyst-ratings,analyst-ratings-change,analyst-ratings-change-negative
business,analyst-ratings,analyst-ratings-change,analyst-ratings-change-negative-rater
business,analyst-ratings,analyst-ratings-change,analyst-ratings-change-neutral
business,analyst-ratings,analyst-ratings-change,analyst-ratings-change-positive
business,analyst-ratings,analyst-ratings-change,analyst-ratings-change-positive-rater
business,analyst-ratings,analyst-ratings-history,analyst-ratings-history-negative
business,analyst-ratings,analyst-ratings-history,analyst-ratings-history-neutral
business,analyst-ratings,analyst-ratings-history,analyst-ratings-history-positive
business,analyst-ratings,,analyst-ratings-negative
business,analyst-ratings,,analyst-ratings-positive
business,analyst-ratings,analyst-ratings-set,analyst-ratings-set-negative
business,analyst-ratings,analyst-ratings-set,analyst-ratings-set-neutral
business,analyst-ratings,analyst-ratings-set,analyst-ratings-set-positive
society,legal,antitrust-investigation,antitrust-investigation
society,legal,antitrust-settlement,antitrust-settlement
society,legal,antitrust-suit,antitrust-suit-defendant
society,legal,antitrust-suit,antitrust-suit-plaintiff
society,legal,appeal,appeal-plaintiff
business,assets,asset,asset-sale
business,assets,asset,asset-up
business,assets,asset,assets
business,regulatory,auditor-appointment,auditor-appointment
business,regulatory,auditor-resignation,auditor-resignation
business,products-services,award,award
business,bankruptcy,bankruptcy,bankruptcy
business,bankruptcy,bankruptcy,bankruptcy-fears
