topic,group,type,sub_type
business,acquisitions-mergers,acquisition,
business,acquisitions-mergers,acquisition-bid,interest
business,acquisitions-mergers,merger,failed
business,acquisitions-mergers,stake,
business,analyst-ratings,analyst-ratings-change,negative
business,analyst-ratings,analyst-ratings-change,neutral
business,analyst-ratings,analyst-ratings-change,positive
business,analyst-ratings,analyst-ratings-coverage,initiated
business,assets,facility,close
business,assets,facility-construction,
business,assets,facility,open
business,assets,facility,sale
business,assets,facility,upgrade
business,bankruptcy,bankruptcy,
business,business-operations,business-operations-resumed,
business,earnings,earnings,
business,earnings,earnings,down
business,earnings,earnings-estimate,
business,earnings,earnings-expectations,above-expectations
business,earnings,earnings-expectations,below-expectations
business,earnings,earnings-guidance,
business,earnings,earnings-guidance,down
business,earnings,earnings,negative
business,earnings,earnings-per-share,positive
business,earnings,earnings,positive
business,earnings,earnings,up
business,equity-actions,fundraising,
business,equity-actions,initial-public-offering,
business,equity-actions,investment,
business,equity-actions,ownership,decrease
business,equity-actions,public-offering,
business,exploration,resource-discovery,
business,indexes,index-value,gain
business,indexes,index-value,loss
business,industrial-accidents,automobile-accident,
business,industrial-accidents,facility-accident,
business,insider-trading,insider-sell,
business,investor-relations,board-meeting,
business,investor-relations,conference-call,
business,investor-relations,earnings-call,
business,investor-relations,investor-day,
business,investor-relations,shareholders-meeting,
business,labor-issues,board-member-appointment,
business,labor-issues,executive-appointment,
business,labor-issues,executive-firing,
business,labor-issues,executive-resignation,
business,labor-issues,executive-retirement,
business,labor-issues,executive-salary,
business,labor-issues,executive-search,
business,labor-issues,hirings,
business,labor-issues,layoffs,
business,marketing,conference,
business,marketing,product-promotion,
business,partnerships,partnership,
business,price-targets,price-target,downgrade
business,price-targets,price-target,set
business,price-targets,price-target,upgrade
business,products-services,award,
business,products-services,business-contract,
business,products-services,business-contract,terminated
business,products-services,competition,
business,products-services,demand,
business,products-services,demand,decrease
business,products-services,demand,increase
business,products-services,government-contract,
business,products-services,government-contract,terminated
business,products-services,market-entry,
business,products-services,market-exit,
business,products-services,market-share,
business,products-services,market-share,loss
business,products-services,product-development,
business,products-services,product-discontinued,
business,products-services,product-enhancement,
business,products-services,product-outage,
business,products-services,product-pricing,
business,products-services,product-pricing,cut
business,products-services,product-pricing,raise
business,products-services,product-recall,
business,products-services,product-release,
business,products-services,product-release,delayed
business,products-services,product-support,discontinued
business,products-services,project-abandoned,
business,products-services,regulatory-product-approval,granted
business,products-services,supply,
business,products-services,supply,decrease
business,products-services,supply-guidance,increase
business,products-services,supply,increase
business,regulatory,regulatory-filing,
business,regulatory,regulatory-investigation,
business,regulatory,regulatory-investigation,completed
business,revenues,revenue,
business,revenues,revenue,above-expectations
business,revenues,revenue,below-expectations
business,revenues,revenue,down
business,revenues,revenue-guidance,
business,revenues,revenue-guidance,down
business,revenues,revenue-guidance,up
business,revenues,revenue,up
business,revenues,revenue-volume,
business,revenues,revenue-volume,down
business,revenues,revenue-volume,up
business,stock-picks,stock-pick,
business,stock-picks,stock-pick,buy
business,stock-prices,market-capitalization,
business,stock-prices,stock-price,
business,stock-prices,stock-price,gain
business,stock-prices,stock-price,loss
business,stock-prices,stock-price-volatility,down
economy,consumption,vehicle-sales,down
economy,foreign-exchange,currency-rate,
economy,taxes,import-tax,
economy,taxes,import-tax,increase
politics,elections,elections,
politics,elections,elections,results
society,civil-unrest,protest,
society,crime,shooting,
society,crime,vandalism,
society,cyber-security,cyber-attacks,
society,cyber-security,malware-attack,
society,legal,antitrust-investigation,
society,legal,copyright-infringement,
society,legal,legal-issues,
society,legal,settlement,
society,legal,verdict,
society,reputation,apology,
society,reputation,reputation,positive
society,security,explosion,
society,war-conflict,violence,attack
