kind,topic,group,type,sub_type,id_or_slug
modern,business,acquisitions-mergers,acquisition,,"business,acquisitions-mergers,acquisition,,"
modern,business,acquisitions-mergers,acquisition,completed,"business,acquisitions-mergers,acquisition,completed,"
modern,business,acquisitions-mergers,acquisition,failed,"business,acquisitions-mergers,acquisition,failed,"
modern,business,acquisitions-mergers,acquisition,opposition,"business,acquisitions-mergers,acquisition,opposition,"
modern,business,acquisitions-mergers,acquisition,rumor,"business,acquisitions-mergers,acquisition,rumor,"
modern,business,acquisitions-mergers,acquisition,rumor-denied,"business,acquisitions-mergers,acquisition,rumor-denied,"
modern,business,acquisitions-mergers,acquisition-bid,increase,"business,acquisitions-mergers,acquisition-bid,increase,"
modern,business,acquisitions-mergers,acquisition-bid,interest,"business,acquisitions-mergers,acquisition-bid,interest,"
modern,business,acquisitions-mergers,acquisition-bid,rejected,"business,acquisitions-mergers,acquisition-bid,rejected,"
modern,business,acquisitions-mergers,acquisition-regulation,approval,"business,acquisitions-mergers,acquisition-regulation,approval,"
modern,business,acquisitions-mergers,acquisition-regulation,approval-denied,"business,acquisitions-mergers,acquisition-regulation,approval-denied,"
modern,business,acquisitions-mergers,acquisition-regulation,scrutiny,"business,acquisitions-mergers,acquisition-regulation,scrutiny,"
modern,business,acquisitions-mergers,company-for-sale,,"business,acquisitions-mergers,company-for-sale,,"
modern,business,acquisitions-mergers,merger,,"business,acquisitions-mergers,merger,,"
modern,business,acquisitions-mergers,merger,approved,"business,acquisitions-mergers,merger,approved,"
modern,business,acquisitions-mergers,merger,failed,"business,acquisitions-mergers,merger,failed,"
modern,business,acquisitions-mergers,merger,interest,"business,acquisitions-mergers,merger,interest,"
modern,business,acquisitions-mergers,merger,rumor,"business,acquisitions-mergers,merger,rumor,"
modern,business,acquisitions-mergers,merger-regulation,approval,"business,acquisitions-mergers,merger-regulation,approval,"
modern,business,acquisitions-mergers,merger-regulation,approval-denied,"business,acquisitions-mergers,merger-regulation,approval-denied,"
modern,business,acquisitions-mergers,merger-regulation,scrutiny,"business,acquisitions-mergers,merger-regulation,scrutiny,"
modern,business,acquisitions-mergers,stake,,"business,acquisitions-mergers,stake,,"
modern,business,acquisitions-mergers,stake,interest,"business,acquisitions-mergers,stake,interest,"
modern,business,analyst-ratings,analyst-ratings-change,negative,"business,analyst-ratings,analyst-ratings-change,negative,"
modern,business,analyst-ratings,analyst-ratings-change,neutral,"business,analyst-ratings,analyst-ratings-change,neutral,"
modern,business,analyst-ratings,analyst-ratings-change,positive,"business,analyst-ratings,analyst-ratings-change,positive,"
modern,business,analyst-ratings,analyst-ratings-coverage,initiated,"business,analyst-ratings,analyst-ratings-coverage,initiated,"
modern,business,analyst-ratings,analyst-ratings-set,neutral,"business,analyst-ratings,analyst-ratings-set,neutral,"
modern,business,analyst-ratings,analyst-ratings-set,positive,"business,analyst-ratings,analyst-ratings-set,positive,"
modern,business,assets,asset,,"business,assets,asset,,"
modern,business,assets,asset,down,"business,assets,asset,down,"
modern,business,assets,asset,sale,"business,assets,asset,sale,"
modern,business,assets,asset,up,"business,assets,asset,up,"
modern,business,assets,commodity-assets,buy,"business,assets,commodity-assets,buy,"
modern,business,assets,commodity-assets,sell,"business,assets,commodity-assets,sell,"
modern,business,assets,facility,close,"business,assets,facility,close,"
modern,business,assets,facility,open,"business,assets,facility,open,"
modern,business,assets,facility,relocation,"business,assets,facility,relocation,"
modern,business,assets,facility,sale,"business,assets,facility,sale,"
modern,business,assets,facility,upgrade,"business,assets,facility,upgrade,"
modern,business,assets,facility-construction,,"business,assets,facility-construction,,"
modern,business,assets,goodwill,,"business,assets,goodwill,,"
modern,business,assets,headquarters-change,,"business,assets,headquarters-change,,"
modern,business,assets,patent,revoked,"business,assets,patent,revoked,"
modern,business,bankruptcy,bankruptcy,,"business,bankruptcy,bankruptcy,,"
modern,business,bankruptcy,bankruptcy,exit,"business,bankruptcy,bankruptcy,exit,"
modern,business,bankruptcy,bankruptcy,fears,"business,bankruptcy,bankruptcy,fears,"
modern,business,business-operations,business-operations-disrupted,,"business,business-operations,business-operations-disrupted,,"
modern,business,business-operations,business-operations-resumed,,"business,business-operations,business-operations-resumed,,"
modern,business,commodity-prices,commodity-futures,gain,"business,commodity-prices,commodity-futures,gain,"
modern,business,commodity-prices,commodity-futures,loss,"business,commodity-prices,commodity-futures,loss,"
modern,business,commodity-prices,commodity-price,gain,"business,commodity-prices,commodity-price,gain,"
modern,business,commodity-prices,commodity-price,loss,"business,commodity-prices,commodity-price,loss,"
modern,business,commodity-prices,commodity-price,unchanged,"business,commodity-prices,commodity-price,unchanged,"
modern,business,commodity-prices,commodity-price-volatility,,"business,commodity-prices,commodity-price-volatility,,"
modern,business,credit,credit-extension,,"business,credit,credit-extension,,"
modern,business,credit,debt,,"business,credit,debt,,"
modern,business,credit,debt,increase,"business,credit,debt,increase,"
modern,business,credit,debt,reduction,"business,credit,debt,reduction,"
modern,business,credit,debt-acquisition,,"business,credit,debt-acquisition,,"
modern,business,credit,debt-restructuring,,"business,credit,debt-restructuring,,"
modern,business,credit,debt-sale,,"business,credit,debt-sale,,"
modern,business,credit,debt-sale,completed,"business,credit,debt-sale,completed,"
modern,business,credit,debt-sale,considered,"business,credit,debt-sale,considered,"
modern,business,credit,loan,,"business,credit,loan,,"
modern,business,credit-ratings,credit-rating-change,downgrade,"business,credit-ratings,credit-rating-change,downgrade,"
