vintage,topic,group,type,sub_type,compound_id
CURRENT-bigdata,business,acquisitions-mergers,acquisition,,"business,acquisitions-mergers,acquisition,,"
CURRENT-bigdata,business,acquisitions-mergers,acquisition,completed,"business,acquisitions-mergers,acquisition,completed,"
CURRENT-bigdata,business,acquisitions-mergers,acquisition,failed,"business,acquisitions-mergers,acquisition,failed,"
CURRENT-bigdata,business,acquisitions-mergers,acquisition,opposition,"business,acquisitions-mergers,acquisition,opposition,"
CURRENT-bigdata,business,acquisitions-mergers,acquisition,rumor,"business,acquisitions-mergers,acquisition,rumor,"
CURRENT-bigdata,business,acquisitions-mergers,acquisition,rumor-denied,"business,acquisitions-mergers,acquisition,rumor-denied,"
CURRENT-bigdata,business,acquisitions-mergers,acquisition-bid,increase,"business,acquisitions-mergers,acquisition-bid,increase,"
CURRENT-bigdata,business,acquisitions-mergers,acquisition-bid,interest,"business,acquisitions-mergers,acquisition-bid,interest,"
CURRENT-bigdata,business,acquisitions-mergers,acquisition-bid,rejected,"business,acquisitions-mergers,acquisition-bid,rejected,"
CURRENT-bigdata,business,acquisitions-mergers,acquisition-regulation,approval,"business,acquisitions-mergers,acquisition-regulation,approval,"
CURRENT-bigdata,business,acquisitions-mergers,acquisition-regulation,approval-denied,"business,acquisitions-mergers,acquisition-regulation,approval-denied,"
CURRENT-bigdata,business,acquisitions-mergers,acquisition-regulation,scrutiny,"business,acquisitions-mergers,acquisition-regulation,scrutiny,"
CURRENT-bigdata,business,acquisitions-mergers,company-for-sale,,"business,acquisitions-mergers,company-for-sale,,"
CURRENT-bigdata,business,acquisitions-mergers,merger,,"business,acquisitions-mergers,merger,,"
CURRENT-bigdata,business,acquisitions-mergers,merger,approved,"business,acquisitions-mergers,merger,approved,"
CURRENT-bigdata,business,acquisitions-mergers,merger,failed,"business,acquisitions-mergers,merger,failed,"
CURRENT-bigdata,business,acquisitions-mergers,merger,interest,"business,acquisitions-mergers,merger,interest,"
CURRENT-bigdata,business,acquisitions-mergers,merger,rumor,"business,acquisitions-mergers,merger,rumor,"
CURRENT-bigdata,business,acquisitions-mergers,merger-regulation,approval,"business,acquisitions-mergers,merger-regulation,approval,"
CURRENT-bigdata,business,acquisitions-mergers,merger-regulation,approval-denied,"business,acquisitions-mergers,merger-regulation,approval-denied,"
CURRENT-bigdata,business,acquisitions-mergers,merger-regulation,scrutiny,"business,acquisitions-mergers,merger-regulation,scrutiny,"
CURRENT-bigdata,business,acquisitions-mergers,stake,,"business,acquisitions-mergers,stake,,"
CURRENT-bigdata,business,acquisitions-mergers,stake,interest,"business,acquisitions-mergers,stake,interest,"
CURRENT-bigdata,business,analyst-ratings,analyst-ratings-change,negative,"business,analyst-ratings,analyst-ratings-change,negative,"
CURRENT-bigdata,business,analyst-ratings,analyst-ratings-change,neutral,"business,analyst-ratings,analyst-ratings-change,neutral,"
CURRENT-bigdata,business,analyst-ratings,analyst-ratings-change,positive,"business,analyst-ratings,analyst-ratings-change,positive,"
CURRENT-bigdata,business,analyst-ratings,analyst-ratings-coverage,initiated,"business,analyst-ratings,analyst-ratings-coverage,initiated,"
CURRENT-bigdata,business,analyst-ratings,analyst-ratings-set,neutral,"business,analyst-ratings,analyst-ratings-set,neutral,"
CURRENT-bigdata,business,analyst-ratings,analyst-ratings-set,positive,"business,analyst-ratings,analyst-ratings-set,positive,"
CURRENT-bigdata,business,assets,asset,,"business,assets,asset,,"
CURRENT-bigdata,business,assets,asset,down,"business,assets,asset,down,"
CURRENT-bigdata,business,assets,asset,sale,"business,assets,asset,sale,"
CURRENT-bigdata,business,assets,asset,up,"business,assets,asset,up,"
CURRENT-bigdata,business,assets,commodity-assets,buy,"business,assets,commodity-assets,buy,"
CURRENT-bigdata,business,assets,commodity-assets,sell,"business,assets,commodity-assets,sell,"
CURRENT-bigdata,business,assets,facility,close,"business,assets,facility,close,"
CURRENT-bigdata,business,assets,facility,open,"business,assets,facility,open,"
CURRENT-bigdata,business,assets,facility,relocation,"business,assets,facility,relocation,"
CURRENT-bigdata,business,assets,facility,sale,"business,assets,facility,sale,"
CURRENT-bigdata,business,assets,facility,upgrade,"business,assets,facility,upgrade,"
CURRENT-bigdata,business,assets,facility-construction,,"business,assets,facility-construction,,"
CURRENT-bigdata,business,assets,goodwill,,"business,assets,goodwill,,"
CURRENT-bigdata,business,assets,headquarters-change,,"business,assets,headquarters-change,,"
CURRENT-bigdata,business,assets,patent,revoked,"business,assets,patent,revoked,"
CURRENT-bigdata,business,bankruptcy,bankruptcy,,"business,bankruptcy,bankruptcy,,"
CURRENT-bigdata,business,bankruptcy,bankruptcy,exit,"business,bankruptcy,bankruptcy,exit,"
CURRENT-bigdata,business,bankruptcy,bankruptcy,fears,"business,bankruptcy,bankruptcy,fears,"
CURRENT-bigdata,business,business-operations,business-operations-disrupted,,"business,business-operations,business-operations-disrupted,,"
CURRENT-bigdata,business,business-operations,business-operations-resumed,,"business,business-operations,business-operations-resumed,,"
CURRENT-bigdata,business,commodity-prices,commodity-futures,gain,"business,commodity-prices,commodity-futures,gain,"
CURRENT-bigdata,business,commodity-prices,commodity-futures,loss,"business,commodity-prices,commodity-futures,loss,"
CURRENT-bigdata,business,commodity-prices,commodity-price,gain,"business,commodity-prices,commodity-price,gain,"
CURRENT-bigdata,business,commodity-prices,commodity-price,loss,"business,commodity-prices,commodity-price,loss,"
CURRENT-bigdata,business,commodity-prices,commodity-price,unchanged,"business,commodity-prices,commodity-price,unchanged,"
CURRENT-bigdata,business,commodity-prices,commodity-price-volatility,,"business,commodity-prices,commodity-price-volatility,,"
CURRENT-bigdata,business,credit,credit-extension,,"business,credit,credit-extension,,"
CURRENT-bigdata,business,credit,debt,,"business,credit,debt,,"
CURRENT-bigdata,business,credit,debt,increase,"business,credit,debt,increase,"
CURRENT-bigdata,business,credit,debt,reduction,"business,credit,debt,reduction,"
CURRENT-bigdata,business,credit,debt-acquisition,,"business,credit,debt-acquisition,,"
CURRENT-bigdata,business,credit,debt-restructuring,,"business,credit,debt-restructuring,,"
CURRENT-bigdata,business,credit,debt-sale,,"business,credit,debt-sale,,"
CURRENT-bigdata,business,credit,debt-sale,completed,"business,credit,debt-sale,completed,"
CURRENT-bigdata,business,credit,debt-sale,considered,"business,credit,debt-sale,considered,"
CURRENT-bigdata,business,credit,loan,,"business,credit,loan,,"
CURRENT-bigdata,business,credit-ratings,credit-rating-change,downgrade,"business,credit-ratings,credit-rating-change,downgrade,"
CURRENT-bigdata,business,credit-ratings,credit-rating-change,set,"business,credit-ratings,credit-rating-change,set,"
CURRENT-bigdata,business,credit-ratings,credit-rating-watch,negative,"business,credit-ratings,credit-rating-watch,negative,"
CURRENT-bigdata,business,customer-engagement,net-promoter-score,,"business,customer-engagement,net-promoter-score,,"
CURRENT-bigdata,business,customer-engagement,net-promoter-score,down,"business,customer-engagement,net-promoter-score,down,"
CURRENT-bigdata,business,customer-engagement,net-promoter-score,up,"business,customer-engagement,net-promoter-score,up,"
CURRENT-bigdata,business,customer-engagement,net-promoter-score-guidance,,"business,customer-engagement,net-promoter-score-guidance,,"
CURRENT-bigdata,business,dividends,dividend,,"business,dividends,dividend,,"
CURRENT-bigdata,business,dividends,dividend,down,"business,dividends,dividend,down,"
CURRENT-bigdata,business,dividends,dividend,up,"business,dividends,dividend,up,"
CURRENT-bigdata,business,dividends,dividend-guidance,,"business,dividends,dividend-guidance,,"
CURRENT-bigdata,business,dividends,dividend-guidance,down,"business,dividends,dividend-guidance,down,"
CURRENT-bigdata,business,dividends,dividend-guidance,up,"business,dividends,dividend-guidance,up,"
