vintage,leaf_slug
LEGACY-rpa1.0,acquisition-acquiree
LEGACY-rpa1.0,acquisition-acquirer
LEGACY-rpa1.0,acquisition-bid-rejected-acquiree
LEGACY-rpa1.0,acquisition-bid-rejected-acquirer
LEGACY-rpa1.0,acquisition-completed-acquiree
LEGACY-rpa1.0,acquisition-completed-acquirer
LEGACY-rpa1.0,acquisition-failed-acquiree
LEGACY-rpa1.0,acquisition-failed-acquirer
LEGACY-rpa1.0,acquisition-interest-acquiree
LEGACY-rpa1.0,acquisition-interest-acquirer
LEGACY-rpa1.0,acquisition-merger-termination-fee
LEGACY-rpa1.0,acquisition-opposition-acquiree
LEGACY-rpa1.0,acquisition-opposition-acquirer
LEGACY-rpa1.0,acquisition-regulatory-approval-acquiree
LEGACY-rpa1.0,acquisition-regulatory-approval-acquirer
LEGACY-rpa1.0,acquisition-regulatory-scrutiny-acquiree
LEGACY-rpa1.0,acquisition-regulatory-scrutiny-acquirer
LEGACY-rpa1.0,acquisition-rumor-acquiree
LEGACY-rpa1.0,acquisition-rumor-acquirer
LEGACY-rpa1.0,acquisition-rumor-denied-acquiree
LEGACY-rpa1.0,acquisition-rumor-denied-acquirer
LEGACY-rpa1.0,acquisition-scrutiny-acquiree
LEGACY-rpa1.0,analyst-ratings-change-negative
LEGACY-rpa1.0,analyst-ratings-change-negative-rater
LEGACY-rpa1.0,analyst-ratings-change-neutral
LEGACY-rpa1.0,analyst-ratings-change-positive
LEGACY-rpa1.0,analyst-ratings-change-positive-rater
LEGACY-rpa1.0,analyst-ratings-history-negative
LEGACY-rpa1.0,analyst-ratings-history-neutral
LEGACY-rpa1.0,analyst-ratings-history-positive
LEGACY-rpa1.0,analyst-ratings-negative
LEGACY-rpa1.0,analyst-ratings-positive
LEGACY-rpa1.0,analyst-ratings-set-negative
LEGACY-rpa1.0,analyst-ratings-set-neutral
LEGACY-rpa1.0,analyst-ratings-set-positive
LEGACY-rpa1.0,antitrust-investigation
LEGACY-rpa1.0,antitrust-settlement
LEGACY-rpa1.0,antitrust-suit-defendant
LEGACY-rpa1.0,antitrust-suit-plaintiff
LEGACY-rpa1.0,appeal-plaintiff
LEGACY-rpa1.0,asset-sale
LEGACY-rpa1.0,asset-up
LEGACY-rpa1.0,assets
LEGACY-rpa1.0,auditor-appointment
LEGACY-rpa1.0,auditor-resignation
LEGACY-rpa1.0,award
LEGACY-rpa1.0,bankruptcy
LEGACY-rpa1.0,bankruptcy-exit
LEGACY-rpa1.0,bankruptcy-fears
LEGACY-rpa1.0,bankruptcy-unit
LEGACY-rpa1.0,board-meeting
LEGACY-rpa1.0,board-member-appointment
LEGACY-rpa1.0,bought-deal
LEGACY-rpa1.0,business-combination
LEGACY-rpa1.0,business-contract
LEGACY-rpa1.0,business-contract-terminated
LEGACY-rpa1.0,buy-imbalance
LEGACY-rpa1.0,buyback-suspended
LEGACY-rpa1.0,buybacks
LEGACY-rpa1.0,campaign-ad-release
LEGACY-rpa1.0,campaign-ad-retired
LEGACY-rpa1.0,capex
LEGACY-rpa1.0,capex-down
LEGACY-rpa1.0,capex-guidance
LEGACY-rpa1.0,capex-guidance-down
LEGACY-rpa1.0,capex-guidance-up
LEGACY-rpa1.0,capital-increase
LEGACY-rpa1.0,capital-increase-completed
LEGACY-rpa1.0,clinical-trials
LEGACY-rpa1.0,clinical-trials-complete
LEGACY-rpa1.0,clinical-trials-filed
LEGACY-rpa1.0,clinical-trials-negative
LEGACY-rpa1.0,clinical-trials-positive
LEGACY-rpa1.0,clinical-trials-start
LEGACY-rpa1.0,clinical-trials-suspended
LEGACY-rpa1.0,company-for-sale
LEGACY-rpa1.0,conference-call
LEGACY-rpa1.0,conference-organizer
LEGACY-rpa1.0,conference-participant
LEGACY-rpa1.0,confidentiality-pact
LEGACY-rpa1.0,congressional-testimony-summoned
LEGACY-rpa1.0,copyright-infringement-defendant
LEGACY-rpa1.0,copyright-infringement-plaintiff
LEGACY-rpa1.0,credit-extension-provider
LEGACY-rpa1.0,credit-extension-recipient
LEGACY-rpa1.0,credit-rating-action
LEGACY-rpa1.0,credit-rating-affirmation
LEGACY-rpa1.0,credit-rating-confirmation
LEGACY-rpa1.0,credit-rating-corrected
LEGACY-rpa1.0,credit-rating-downgrade
LEGACY-rpa1.0,credit-rating-expected
LEGACY-rpa1.0,credit-rating-matured
LEGACY-rpa1.0,credit-rating-no-rating
LEGACY-rpa1.0,credit-rating-outlook-developing
LEGACY-rpa1.0,credit-rating-outlook-negative
LEGACY-rpa1.0,credit-rating-outlook-positive
LEGACY-rpa1.0,credit-rating-outlook-revision
LEGACY-rpa1.0,credit-rating-outlook-stable
LEGACY-rpa1.0,credit-rating-outlook-unchanged
LEGACY-rpa1.0,credit-rating-paid-in-full
LEGACY-rpa1.0,credit-rating-provisional-rating
LEGACY-rpa1.0,credit-rating-publish
LEGACY-rpa1.0,credit-rating-reinstated
LEGACY-rpa1.0,credit-rating-revision-enhancement
LEGACY-rpa1.0,credit-rating-set
LEGACY-rpa1.0,credit-rating-unchanged
LEGACY-rpa1.0,credit-rating-upgrade
LEGACY-rpa1.0,credit-rating-watch
LEGACY-rpa1.0,credit-rating-watch-developing
LEGACY-rpa1.0,credit-rating-watch-negative
LEGACY-rpa1.0,credit-rating-watch-positive
LEGACY-rpa1.0,credit-rating-watch-removed
LEGACY-rpa1.0,credit-rating-watch-unchanged
LEGACY-rpa1.0,credit-rating-withdrawn-rating
LEGACY-rpa1.0,cyber-attacks
LEGACY-rpa1.0,debt
LEGACY-rpa1.0,debt-extension-provider
LEGACY-rpa1.0,debt-extension-recipient
LEGACY-rpa1.0,debt-increase
LEGACY-rpa1.0,debt-reduction
LEGACY-rpa1.0,debt-renegotiation
LEGACY-rpa1.0,debt-restructuring
LEGACY-rpa1.0,debt-restructuring-approval
LEGACY-rpa1.0,debt-restructuring-complete
LEGACY-rpa1.0,debt-restructuring-considered
LEGACY-rpa1.0,debt-restructuring-failed
