rank,driver,group,news_mentions,pct_of_company_mentions,compound_id
1,Stock price — loss,stock-prices,1593,19.0,"business,stock-prices,stock-price,loss,"
2,Stock price — gain,stock-prices,1344,16.1,"business,stock-prices,stock-price,gain,"
3,Acquisition,acquisitions-mergers,342,4.1,"business,acquisitions-mergers,acquisition,,"
4,Layoffs,labor-issues,180,2.1,"business,labor-issues,layoffs,,"
5,Business contract,products-services,159,1.9,"business,products-services,business-contract,,"
6,Index value — loss,indexes,156,1.9,"business,indexes,index-value,loss,"
7,Partnership,partnerships,133,1.6,"business,partnerships,partnership,,"
8,Acquisition bid — interest,acquisitions-mergers,123,1.5,"business,acquisitions-mergers,acquisition-bid,interest,"
9,Commodity price — gain,commodity-prices,123,1.5,"business,commodity-prices,commodity-price,gain,"
10,Investment,equity-actions,121,1.4,"business,equity-actions,investment,,"
11,Revenue — up,revenues,118,1.4,"business,revenues,revenue,up,"
12,Regulatory investigation,regulatory,107,1.3,"business,regulatory,regulatory-investigation,,"
13,Earnings,earnings,105,1.3,"business,earnings,earnings,,"
14,Supply — decrease,products-services,102,1.2,"business,products-services,supply,decrease,"
15,Index value — gain,indexes,101,1.2,"business,indexes,index-value,gain,"
16,Product pricing — raise,products-services,99,1.2,"business,products-services,product-pricing,raise,"
17,Supply,products-services,95,1.1,"business,products-services,supply,,"
18,Product release,products-services,88,1.1,"business,products-services,product-release,,"
19,Earnings guidance — down,earnings,84,1.0,"business,earnings,earnings-guidance,down,"
20,Stake,acquisitions-mergers,75,0.9,"business,acquisitions-mergers,stake,,"
21,Revenue — down,revenues,75,0.9,"business,revenues,revenue,down,"
22,Government contract,products-services,75,0.9,"business,products-services,government-contract,,"
23,Supply guidance — increase,products-services,74,0.9,"business,products-services,supply-guidance,increase,"
24,Earnings — up,earnings,72,0.9,"business,earnings,earnings,up,"
25,Supply — increase,products-services,68,0.8,"business,products-services,supply,increase,"
26,Earnings expectations — above expectations,earnings,67,0.8,"business,earnings,earnings-expectations,above-expectations,"
27,Executive resignation,labor-issues,63,0.8,"business,labor-issues,executive-resignation,,"
28,Supply chain disruption,products-services,62,0.7,"business,products-services,supply-chain-disruption,,"
29,Earnings — down,earnings,59,0.7,"business,earnings,earnings,down,"
30,Executive appointment,labor-issues,59,0.7,"business,labor-issues,executive-appointment,,"
31,Facility construction,assets,59,0.7,"business,assets,facility-construction,,"
32,Earnings call,investor-relations,58,0.7,"business,investor-relations,earnings-call,,"
33,Earnings guidance — up,earnings,56,0.7,"business,earnings,earnings-guidance,up,"
34,Facility — open,assets,54,0.6,"business,assets,facility,open,"
35,Revenue,revenues,53,0.6,"business,revenues,revenue,,"
36,Merger,acquisitions-mergers,53,0.6,"business,acquisitions-mergers,merger,,"
37,Revenue guidance — up,revenues,50,0.6,"business,revenues,revenue-guidance,up,"
38,Facility — close,assets,50,0.6,"business,assets,facility,close,"
39,Product development,products-services,46,0.5,"business,products-services,product-development,,"
40,Earnings guidance expectations — below expectations,earnings,43,0.5,"business,earnings,earnings-guidance-expectations,below-expectations,"
41,Demand — increase,products-services,43,0.5,"business,products-services,demand,increase,"
42,Commodity price — loss,commodity-prices,42,0.5,"business,commodity-prices,commodity-price,loss,"
43,Earnings — positive,earnings,42,0.5,"business,earnings,earnings,positive,"
