timestamp,symbol,headline,article_id,provider,article_text,mentioned_tickers,ticker_count
2025-01-08 11:35:11,AAPL,"Dell Simplifies PC Lineup With Apple-Like Branding: XPS, Inspiron Brands Are Gone For Good",BZ$19b6a9d9,BZ,"On Monday, Dell Technologies Inc. (NYSE: DELL ) announced a major rebranding of its personal computers, aiming to boost sales by adopting a simplified naming strategy similar to Apple Inc. (NASDAQ: AAPL ). What Happened: The company has decided to retire long-standing product names like “XPS” and “Inspiron” in favor of a streamlined approach centered around the Dell name. The rebranding is part of Dell’s strategy to make its products more appealing and less confusing for consumers. The new lineup will feature three tiers: Dell , Dell Pro , and Dell Pro Max , echoing Apple’s naming conventions. See Also: Jensen Huang Unveils $3000 ‘Personal AI Supercomputer' The Size Of A Small Book: ‘It Runs The Entire Nvidia AI Stack' The rebranding is also part of a broader effort to encourage PC upgrades, with AI-optimized systems and the end of support for Microsoft Corp.’s (NASDAQ: MSFT ) Windows 10 as potential catalysts. Notably, Dell’s gaming brand, Alienware , will not be affected by the rebranding. The new Dell-branded devices will incorporate neural processing units to improve AI capabilities. Subscribe to the Benzinga Tech Trends newsletter to get all the latest tech developments delivered to your inbox. Why It Matters: In November 2024, Dell announced earnings of $2.15 per share for the third quarter, surpassing the analyst consensus estimate of $2.05. However, the company's quarterly revenue totaled $24.37 billion, falling short of the expected $24.65 billion, though it represented a growth from the $22.25 billion recorded during the same quarter last year. In the third quarter of 2024, Dell’s share of global PC shipments dropped to 15.7%, down from 16.7% in the previous quarter. The company remains the third-largest PC vendor worldwide, trailing behind Lenovo and HP, according to Statista. Price Action: Dell's stock fell by 2.72% on Tuesday, ending the day at $121.27. However, the stock bounced back in Wednesday's pre-market session, increasing by 1.3% to $122.85, according to Benzinga Pro data . Check out more of Benzinga's Consumer Tech coverage by following this link . Read Next: Nvidia Soars, AMD Stalls: AI Race Heats Up At CES 2025 Disclaimer: This content was partially produced with the help of AI tools and was reviewed and published by Benzinga editors. Photo courtesy: Shutterstock Copyright © Benzinga. All rights reserved. Write to editorial@benzinga.com with any questions about this content. Benzinga does not provide investment advice.","AAPL, DELL, MSFT",3
2025-01-07 21:47:40,AAPL,!3 Digital Infrastructure ETFs In Focus As Trump Reveals Billion-Dollar Data Center Construction Plan,BZ$19b52918,BZ,"President-elect Donald Trump announced on Tuesday that the Emirati real estate development firm DAMAC Properties will invest $20 billion to construct data centers in the U.S. to meet the growing needs of hyperscale customers. The race for dominance in artificial intelligence hit an inflection point as Microsoft (NASDAQ: MSFT ) revealed its $80 billion investment plan to build AI-driven data centers in fiscal 2025, with special regional focus on the U.S. These developments serve as a green light for investors looking to invest in this theme. Risk-averse investors who are interested in cashing in on this opportunity, but are reluctant to choose individual stocks can choose from a plethora of ETFs tied to data center and digital infrastructure stocks. Here we name 3 such ETFs, which carry stocks of digital infrastructure providers like Microsoft and are poised to mirror the gains of the digital infrastructure industry. See Also: Microsoft Pauses Construction On $3.3 Billion Data Center Expected To Be Used By ChatGPT-Parent OpenAI For Massive Super Computer Vanguard Information Technology ETF (NYSE: VGT ), with a low expense ratio of only 0.10% and $98 billion under management, holds the maximum position in Apple (NASDAQ: AAPL ) with a 16.19% current weightage. Nvidia (NASDAQ: NVDA ) and Microsoft are right behind, enjoying weightage of 15.42% and 13.05% of the fund’s total allocation, respectively. iShares U.S. Technology ETF (NYSE: IYW ) has $20.5 billion funds under management and charges an expense ratio of 0.39%. It derives its allocation strategies from the Russell 1000 Technology RIC 22.5/45 Capped Index. Nvidia (15.59%), Apple (15.57) and Microsoft (14.16%) take up the three biggest pieces of the pie. Global X Data Center REITs & Digital Infrastructure ETF (NASDAQ: VPN ) focuses exclusively on companies developing and operating data centers. Microsoft and Apple might not be included in the fund currently, but compelling stocks like Equinix (NASDAQ: EQUIX ), Nvidia and Advanced Micro Devices (NASDAQ: AMD ) enjoy a place in the fund’s portfolio. Expense ratio that the fund management charges is 0.50%. Some Notes On Major Fund Holdings Data centers run by Apple boast unique design features to support energy conservation and have been running on 100% renewable energy since 2014. Nvidia, on the other hand, is expected to ramp up production of liquid-cooled GB200 server racks in the current quarter. Data center REIT Equinix recently acquired BT's data center business in Ireland. Advanced Micro’s aMI300 product line, featuring high-performance GPU accelerators, is expected to rake in more than $5 billion in revenue for 2024, according to Dataconomy. Parting Thoughts Digital infrastructure is the backbone of modern technology. From AI and cloud computing to blockchain and 5G, the global economy relies on robust data centers to keep pace with innovation. A Research And Markets study shows that the Data Center services market, which grew from $56.65 billion in 2023 to $62.23 billion in 2024, is likely to witness a CAGR of 9.99%, hitting $110.34 billion by 2030. Whether it's leveraging Microsoft-heavy funds like VGT or targeting niche players through VPN, investors have a range of tools to capitalize on this transformative megatrend. See Next: Rocket Lab Surge Sparks Renewed Interest In Space-Focused ETFs: 3 Funds In Focus Photo: Shutterstock Copyright © Benzinga. All rights reserved. Write to editorial@benzinga.com with any questions about this content. Benzinga does not provide investment advice.","EQUIX, VGT, VPN, AMD, IYW, NVDA, MSFT, AAPL",8
2025-01-07 18:39:43,AAPL,!Apple shares are trading lower after MoffettNathanson downgraded the stock from Neutral to Sell and lowered its price target from $202 to $188.,BZ$19b4d7c3,BZ,Copyright © Benzinga. All rights reserved. Write to editorial@benzinga.com with any questions about this content. Benzinga does not provide investment advice.,,0
2025-01-07 16:36:19,AAPL,"!Apple Analyst Flags iPhone AI Struggles, Google Deal Risks",BZ$19b47bcc,BZ,"Apple Inc (NASDAQ: AAPL ) stock is trading lower Tuesday after MoffettNathanson analyst Craig Moffett downgraded Apple from Neutral to Sell and lowered the price target from $202 to $188 , citing iPhone 16 models with artificial intelligence features failing to gain traction and geopolitical tensions with China. Additionally, Alphabet Inc’s (NASDAQ: GOOG ) (NASDAQ: GOOGL ) Google deal to pay Apple over $20 billion annually to make its search engine the default on iPhones is threatened by an antitrust lawsuit against Google . UBS’s David Vogt recently slashed the iPhone sales forecast for December, citing dwindling market share in China . Also Read: Sam Altman’s OpenAI Plans Major Revamp Of Corporate Structure Apple’s smartphone sales in China dipped to 15.6% in the third quarter, while Huawei posted a 42% jump . Both companies offered discounts to reach a broader customer base. Meanwhile, Apple remains invested in scaling its News app and improving advertising effectiveness, seeking growth from the publishing industry. The iPhone maker is targeting new countries with the platform, which reaches about 125 million people every month in the U.S., Canada, the UK, and Australia, according to the Financial Times, which cited familiar sources. The company also considered expanding its curated news coverage to the UK and adding its puzzles section exclusive to the U.S. and Canada. The app is part of Apple’s product bundling and services business, including Apple TV+ and Apple Pay. Apple launched the News app almost a decade ago, and it has gained considerable influence over the reading material of tens of millions in the most prominent Western countries. David Higgerson of Reach UK regional newspaper described the News app as the front door to everyone’s iPhone, the FT reports. Apple News has emerged as the top news app in most of the countries in which it has a presence. In the UK, Reach’s publication, the Mirror, has an average monthly audience of about 4.5 million readers from Apple News. The figure gets crucial as media groups have been hit by plunging digital revenues and readership following Meta Platforms Inc’s (NASDAQ: META ) news coverage policies and changes to Google’s algorithms. In 2024, Google retained cookies in Chrome, allowing advertisers to continue using cookies for targeted ads. Reportedly, ~40.9% of websites worldwide use cookies to collect user data. Sean Cornwell of Immediate Media told the FT that he won “significant business through Apple News.” Apple News+ has grown from 300 publishers at its launch five years ago to about 450 publishers globally. Apple News’s success has invoked debate in the media industry, divided between those eying a large global audience and others seeing it snatching readers and revenues. Publishers fear Apple cannibalizing potential subscribers. Price Action: AAPL stock is down 0.45% at $243.92 at last check Tuesday. Also Read: Super Micro and Nvidia Expand in Taiwan with Green Energy and AI Projects Photo: Shutterstock Copyright © Benzinga. All rights reserved. Write to editorial@benzinga.com with any questions about this content. Benzinga does not provide investment advice.","GOOG, AAPL, GOOGL, META",4
2025-01-07 16:00:56,AAPL,This Is What Whales Are Betting On Apple,BZ$19b442e2,BZ,"Whales with a lot of money to spend have taken a noticeably bullish stance on Apple . Looking at options history for Apple (NASDAQ: AAPL ) we detected 52 trades. If we consider the specifics of each trade, it is accurate to state that 42% of the investors opened trades with bullish expectations and 42% with bearish. From the overall spotted trades, 7 are puts, for a total amount of $784,070 and 45, calls, for a total amount of $2,825,579. Predicted Price Range Based on the trading activity, it appears that the significant investors are aiming for a price territory stretching from $100.0 to $275.0 for Apple over the recent three months. Analyzing Volume & Open Interest In terms of liquidity and interest, the mean open interest for Apple options trades today is 14910.46 with a total volume of 86,828.00. In the following chart, we are able to follow the development of volume and open interest of call and put options for Apple's big money trades within a strike price range of $100.0 to $275.0 over the last 30 days. Apple Option Volume And Open Interest Over Last 30 Days Largest Options Trades Observed: Symbol PUT/CALL Trade Type Sentiment Exp. Date Ask Bid Price Strike Price Total Trade Price Open Interest Volume AAPL PUT SWEEP BULLISH 03/21/25 $3.95 $3.85 $3.9 $230.00 $572.2K 26.7K 1.6K AAPL CALL SWEEP NEUTRAL 01/16/26 $59.4 $58.95 $59.35 $200.00 $183.9K 12.8K 626 AAPL CALL SWEEP BEARISH 01/16/26 $59.4 $59.25 $59.25 $200.00 $177.7K 12.8K 537 AAPL CALL SWEEP BULLISH 06/18/26 $80.85 $80.6 $80.6 $180.00 $177.3K 1.0K 22 AAPL CALL SWEEP BULLISH 02/07/25 $7.45 $7.4 $7.4 $245.00 $173.4K 1.0K 323 About Apple Apple is among the largest companies in the world, with a broad portfolio of hardware and software products targeted at consumers and businesses. Apple's iPhone makes up a majority of the firm sales, and Apple's other products like Mac, iPad, and Watch are designed around the iPhone as the focal point of an expansive software ecosystem. Apple has progressively worked to add new applications, like streaming video, subscription bundles, and augmented reality. The firm designs its own software and semiconductors while working with subcontractors like Foxconn and TSMC to build its products and chips. Slightly less than half of Apple's sales come directly through its flagship stores, with a majority of sales coming indirectly through partnerships and distribution. In light of the recent options history for Apple, it's now appropriate to focus on the company itself. We aim to explore its current performance. Where Is Apple Standing Right Now? With a volume of 9,646,911, the price of AAPL is down -0.11% at $244.74. RSI indicators hint that the underlying stock is currently neutral between overbought and oversold. Next earnings are expected to be released in 23 days. Expert Opinions on Apple In the last month, 5 experts released ratings on this stock with an average target price of $261.2. Turn $1000 into $1270 in just 20 days? 20-year pro options trader reveals his one-line chart technique that shows when to buy and sell. Copy his trades, which have had averaged a 27% profit every 20 days. Click here for access . * Maintaining their stance, an analyst from Wedbush continues to hold a Outperform rating for Apple, targeting a price of $325. * An analyst from Morgan Stanley has revised its rating downward to Overweight, adjusting the price target to $273. * Reflecting concerns, an analyst from Needham lowers its rating to Buy with a new price target of $260. * An analyst from MoffettNathanson has revised its rating downward to Sell, adjusting the price target to $188. * Consistent in their evaluation, an analyst from Bernstein keeps a Outperform rating on Apple with a target price of $260. Options trading presents higher risks and potential rewards. Astute traders manage these risks by continually educating themselves, adapting their strategies, monitoring multiple indicators, and keeping a close eye on market movements. Stay informed about the latest Apple options trades with real-time alerts from Benzinga Pro . Copyright © Benzinga. All rights reserved. Write to editorial@benzinga.com with any questions about this content. Benzinga does not provide investment advice.",AAPL,1
2025-01-07 15:00:32,AAPL,"Evaluating Apple Against Peers In Technology Hardware, Storage &amp; Peripherals Industry",BZ$19b41146,BZ,"In today's rapidly changing and highly competitive business world, it is vital for investors and industry enthusiasts to carefully assess companies. In this article, we will perform a comprehensive industry comparison, evaluating Apple (NASDAQ: AAPL ) against its key competitors in the Technology Hardware, Storage & Peripherals industry. By analyzing important financial metrics, market position, and growth prospects, we aim to provide valuable insights for investors and shed light on company's performance within the industry. Apple Background Apple is among the largest companies in the world, with a broad portfolio of hardware and software products targeted at consumers and businesses. Apple's iPhone makes up a majority of the firm sales, and Apple's other products like Mac, iPad, and Watch are designed around the iPhone as the focal point of an expansive software ecosystem. Apple has progressively worked to add new applications, like streaming video, subscription bundles, and augmented reality. The firm designs its own software and semiconductors while working with subcontractors like Foxconn and TSMC to build its products and chips. Slightly less than half of Apple's sales come directly through its flagship stores, with a majority of sales coming indirectly through partnerships and distribution. Company P/E P/B P/S ROE EBITDA (in billions) Gross Profit (in billions) Revenue Growth Apple Inc 40.30 65.03 9.65 23.83% $32.5 $43.88 6.07% Hewlett Packard Enterprise Co 11.84 1.21 1.01 5.72% $1.44 $2.61 15.06% NetApp Inc 21.73 26.89 3.86 32.84% $0.44 $1.18 6.15% Western Digital Corp 72.14 1.95 1.53 4.28% $0.86 $1.55 48.91% Super Micro Computer Inc 18.14 3.90 1.47 6.68% $0.4 $0.6 37.87% Pure Storage Inc 165.51 14.93 7.47 4.44% $0.11 $0.58 8.94% Eastman Kodak Co 9.31 0.53 0.57 1.34% $0.04 $0.04 -2.97% AstroNova Inc 23.53 0.98 0.59 0.26% $0.0 $0.01 7.65% Average 46.03 7.2 2.36 7.94% $0.47 $0.94 17.37% Through a meticulous analysis of Apple, we can observe the following trends: The Price to Earnings ratio of 40.3 is 0.88x lower than the industry average, indicating potential undervaluation for the stock. It could be trading at a premium in relation to its book value, as indicated by its Price to Book ratio of 65.03 which exceeds the industry average by 9.03x . The Price to Sales ratio of 9.65 , which is 4.09x the industry average, suggests the stock could potentially be overvalued in relation to its sales performance compared to its peers. The company has a higher Return on Equity (ROE) of 23.83% , which is 15.89% above the industry average. This suggests efficient use of equity to generate profits and demonstrates profitability and growth potential. Compared to its industry, the company has higher Earnings Before Interest, Taxes, Depreciation, and Amortization (EBITDA) of $32.5 Billion , which is 69.15x above the industry average, indicating stronger profitability and robust cash flow generation. With higher gross profit of $43.88 Billion , which indicates 46.68x above the industry average, the company demonstrates stronger profitability and higher earnings from its core operations. The company's revenue growth of 6.07% is significantly below the industry average of 17.37% . This suggests a potential struggle in generating increased sales volume. Debt To Equity Ratio The debt-to-equity (D/E) ratio is an important measure to assess the financial structure and risk profile of a company. Considering the debt-to-equity ratio in industry comparisons allows for a concise evaluation of a company's financial health and risk profile, aiding in informed decision-making. When comparing Apple with its top 4 peers based on the Debt-to-Equity ratio, the following insights can be observed: When evaluating the debt-to-equity ratio, Apple is in the middle position among its top 4 peers. The company maintains a moderate level of debt relative to its equity with a debt-to-equity ratio of 1.87 , suggesting a relatively balanced financial structure. Key Takeaways For Apple in the Technology Hardware, Storage & Peripherals industry, the PE, PB, and PS ratios indicate that the stock is relatively undervalued compared to its peers. However, the high ROE, EBITDA, gross profit, and low revenue growth suggest that Apple is performing well financially but may face challenges in revenue expansion compared to industry peers. This article was generated by Benzinga's automated content engine and reviewed by an editor. Copyright © Benzinga. All rights reserved. Write to editorial@benzinga.com with any questions about this content. Benzinga does not provide investment advice.",AAPL,1
2025-01-07 14:48:09,AAPL,!United Airlines To Rally Around 42%? Here Are 10 Top Analyst Forecasts For Tuesday,BZ$19b40b85,BZ,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page . Goldman Sachs raised the price target for SolarEdge Technologies, Inc . (NASDAQ: SEDG ) from $19 to $21. Goldman Sachs analyst Brian Lee maintained a Buy rating. SolarEdge shares closed at $16.29 on Monday. See how other analysts view this stock. UBS slashed The Wendy’s Company (NASDAQ: WEN ) price target from $20 to $17. UBS analyst Dennis Geiger maintained a Neutral rating. Wendy’s shares closed at $15.81 on Monday. See how other analysts view this stock . RBC Capital raised the price target for Carvana Co. (NASDAQ: CVNA ) from $270 to $280. RBC Capital analyst Brad Erickson upgraded the stock from Sector Perform to Outperform. Carvana shares closed at $188.85 on Monday. See how other analysts view this stock. Piper Sandler increased the price target for Coinbase Global, Inc. (NASDAQ: COIN ) from $245 to $285. Piper Sandler analyst Patrick Moley maintained a Neutral rating. Coinbase shares closed at $287.76 on Monday. See how other analysts view this stock. Roth MKM boosted fuboTV Inc . (NYSE FUBO) price target from $2 to $4.75. Roth MKM analyst Darren Aftahi reiterated a Neutral rating. fuboTV shares settled at $5.06 on Monday. See how other analysts view this stock . Oppenheimer raised Shake Shack Inc . (NYSE: SHAK ) price target from $145 to $155. Oppenheimer analyst Brian Bittner maintained an Outperform rating. Shake Shack shares closed at $132.06 on Monday. See how other analysts view this stock. Wells Fargo raised Zoom Communications Inc. (NASDAQ: ZM ) price target from $70 to $85. Wells Fargo analyst Michael Turrin upgraded the stock from Underweight to Equal-Weight. Zoom shares closed at $82.34 on Monday. See how other analysts view this stock . MoffettNathanson cut the price target for Apple Inc. (NASDAQ: AAPL ) from $202 to $188. MoffettNathanson analyst Craig Moffett downgraded the stock from Neutral to Sell. Apple shares settled at $245.00 on Monday. See how other analysts view this stock . Evercore ISI Group cut The Kraft Heinz Company (NASDAQ: KHC ) price target from $38 to $35. Evercore ISI Group analyst David Palmer downgraded the stock from Outperform to In-Line. Kraft Heinz shares closed at $30.05 on Monday. See how other analysts view this stock . UBS increased United Airlines Holdings, Inc. (NASDAQ: UAL ) price target from $139 to $140. UBS analyst Thomas Wadewitz maintained a Buy rating. United Airlines shares closed at $98.57 on Monday. See how other analysts view this stock . Read This Next: Wells Fargo Gears Up For Q4 Print; Here Are The Recent Forecast Changes From Wall Street’s Most Accurate Analysts Copyright © Benzinga. All rights reserved. Write to editorial@benzinga.com with any questions about this content. Benzinga does not provide investment advice.","SHAK, WEN, CVNA, SEDG, KHC, COIN, ZM, UAL, AAPL",9
2025-01-07 14:27:12,AAPL,!This Apple Analyst Turns Bearish; Here Are Top 5 Downgrades For Tuesday,BZ$19b402de,BZ,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades, downgrades and initiations, please see our analyst ratings page . Evercore ISI Group analyst David Palmer downgraded the rating for The Kraft Heinz Company (NASDAQ: KHC ) from Outperform to In-Line and lowered the price target from $38 to $35. Kraft Heinz shares closed at $30.05 on Monday. See how other analysts view this stock . Piper Sandler analyst Charles Neivert downgraded Dow Inc. (NYSE: DOW ) from Overweight to Neutral and lowered the price target from $60 to $53. Dow shares closed at $39.75 on Monday. See how other analysts view this stock . MoffettNathanson analyst Craig Moffett downgraded the rating for Apple Inc. (NASDAQ: AAPL ) from Neutral to Sell and slashed the price target from $202 to $188. Apple shares closed at $245.00 on Monday. See how other analysts view this stock . Wells Fargo analyst Michael Turrin downgraded ZoomInfo Technologies Inc. (NASDAQ: ZI ) from Overweight to Equal-Weight and lowered the price target from $14 to $11. ZoomInfo shares closed at $10.48 on Monday. See how other analysts view this stock . JP Morgan analyst Jimmy Bhullar downgraded the rating for Unum Group (NYSE: UNM ) from Overweight to Neutral but raised the price target from $74 to $79. Unum shares closed at $73.27 on Monday. See how other analysts view this stock. Considering buying AAPL stock? Here’s what analysts think: Read This Next: Wells Fargo Gears Up For Q4 Print; Here Are The Recent Forecast Changes From Wall Street’s Most Accurate Analysts Copyright © Benzinga. All rights reserved. Write to editorial@benzinga.com with any questions about this content. Benzinga does not provide investment advice.","KHC, DOW, ZI, AAPL, UNM",5
2025-01-07 14:17:35,AAPL,"Top 10 Trending Stocks On WallStreetBets As Of January 7, 2025 (Via Swaggy Stocks)",BZ$19b3fda1,BZ,NVDA TSLA CVNA FUBO AMD META MU AAPL DIS UBER Data from https://swaggystocks.com/dashboard/wallstreetbets/ticker-sentiment Copyright © Benzinga. All rights reserved. Write to editorial@benzinga.com with any questions about this content. Benzinga does not provide investment advice.,,0
2025-01-07 13:26:57,AAPL,"!Taiwan Semiconductor Ramps Up Production in Japan, US, and Germany to Diversify Away from China",BZ$19b3e08d,BZ,"Taiwan Semiconductor Manufacturing Co (NYSE: TSM ) is all set for full-capacity production in the U.S. and Germany after commercializing its debut Japanese chip plant in Kikuyo, Kumamoto Prefecture, last December. Nvidia Corp’s (NASDAQ: NVDA ) $3 trillion valuation and Taiwan Semiconductor’s 2nm progress testify to AI-driven chip industry growth . Reportedly, Microsoft Corp (NASDAQ: MSFT ) eyes $80 billion in developing AI data centers in fiscal 2025, marking a big win for the sector. Also Read: Taiwan Semiconductor’s Kaohsiung Expansion To Boost 2-nm Chip Production The contract chipmaker aims to complete production of plants in Arizona in 2025 and Dresden in 2027. Construction of Taiwan Semiconductor’s second Japanese factory will likely begin near the Kikuyo plant, the Japan News reports . Taiwan commanded 67% of the global market share in contracted semiconductor manufacturing and nearly 80% in cutting-edge products in 2023, the Japan News cites TrendForce. Taiwan attempted to shield itself from geopolitical tension by concentrating production on the island. Still, it also remains focused on its geographical diversification to help the world boost its semiconductor base by reducing its dependence on China, whose semiconductor supply chain was disrupted during the 2020 pandemic. Kumamoto Gov. Takashi Kimura shared with Japan Times the country’s hopes to attract Taiwan Semiconductor’s third plant in the prefecture. The new plant, located in Kikuyo, began commercializing 12-28 nm technology last December. It caters to Sony Group Corp (NYSE: SONY ), which produces camera sensors for Apple Inc (NASDAQ: AAPL ). Taiwan Semiconductor is proficient in making general-purpose chips between 12 and 28 nm. However, chip plants in Japan failed to produce semiconductors thinner than 40 nm, prompting them to tap the Taiwanese chipmaker. Taiwan Semiconductor is building a new plant in Arizona, where commercialization of 4-nm chips will likely begin between January and March. It aims to complete its debut European plant in Dresden in 2027. The plant targets a quadrupolar production plan with principal plants in Taiwan, Japan, the U.S., and Germany. Meanwhile, some concerns loom in the form of President-elect Donald Trump taking charge on January 20. The U.S. posted a significant trade deficit with Taiwan in 2023, prompting Trump to verbally attack the country during his presidential campaigns for allegedly depriving the U.S. of the semiconductor industry. He suggested redemption by slapping tariffs on Taiwan, which can increase the contract chipmaker’s production costs since labor costs in the U.S. are about 30% higher than in Taiwan. Taiwan Semiconductor stock surged over 115% in the last 12 months. Goldman Sachs ‘ Bruce Lu projected another year of robust revenue growth for Taiwan Semiconductor in 2025E, 26.8%, following 29.4% revenue growth in 2024E (all in USD terms). Demand in leading-edge nodes, mainly supported by AI, backed this growth. Investors can gain exposure to companies that manufacture semiconductors through ProShares UltraShort Semiconductors (NYSE: SSG ) and ProShares UltraShort Semiconductors (NYSE: XSD ). Price Action: TSM stock is up 0.08% to $220.19 premarket at last check Tuesday. Also Read: Nvidia Targets Robotics as Next Big Opportunity Amid Rising AI Rivalry Image via Shutterstock Copyright © Benzinga. All rights reserved. Write to editorial@benzinga.com with any questions about this content. Benzinga does not provide investment advice.","TSM, XSD, SONY, SSG, NVDA, MSFT, AAPL",7
