id,accessionNo,cik,ticker,companyName,companyNameLong,formType,description,filedAt,linkToTxt,linkToHtml,linkToXbrl,linkToFilingDetails,periodOfReport,effectivenessDate,entity_companyName,entity_cik,entity_irsNo,entity_stateOfIncorporation,entity_fiscalYearEnd,entity_type,entity_act,entity_fileNo,entity_filmNo,entity_sic,doc_sequence,doc_description,doc_documentUrl,doc_type,doc_size,data_sequence,data_description,data_documentUrl,data_type,data_size,series_id,series_name,classContract,classContract_name,classContract_ticker
6a8edceafbcd082c49e7290de2591f72,0001213900-25-013179,1828098,STKH,Steakholder Foods Ltd.,Steakholder Foods Ltd. (Filer),6-K,Form 6-K - Report of foreign issuer [Rules 13a-16 and 15d-16],2025-02-13T08:07:15-05:00,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/0001213900-25-013179.txt,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/0001213900-25-013179-index.htm,,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/ea0230980-6k_steakholder.htm,2025-02-13,,Steakholder Foods Ltd. (Filer),1828098,000000000,L3,1231,6-K,34,001-40173,25617285,2000 Food and Kindred Products,,,,,,,,,,,,,,,
6a8edceafbcd082c49e7290de2591f72,0001213900-25-013179,1828098,STKH,Steakholder Foods Ltd.,Steakholder Foods Ltd. (Filer),6-K,Form 6-K - Report of foreign issuer [Rules 13a-16 and 15d-16],2025-02-13T08:07:15-05:00,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/0001213900-25-013179.txt,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/0001213900-25-013179-index.htm,,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/ea0230980-6k_steakholder.htm,2025-02-13,,,,,,,,,,,,1,REPORT OF FOREIGN PRIVATE ISSUER,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/ea0230980-6k_steakholder.htm,6-K,10988,,,,,,,,,,
6a8edceafbcd082c49e7290de2591f72,0001213900-25-013179,1828098,STKH,Steakholder Foods Ltd.,Steakholder Foods Ltd. (Filer),6-K,Form 6-K - Report of foreign issuer [Rules 13a-16 and 15d-16],2025-02-13T08:07:15-05:00,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/0001213900-25-013179.txt,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/0001213900-25-013179-index.htm,,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/ea0230980-6k_steakholder.htm,2025-02-13,,,,,,,,,,,,2,"PRESS RELEASE, DATED FEBRUARY 13, 2025",https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/ea023098001ex99-1_steak.htm,EX-99.1,15410,,,,,,,,,,
6a8edceafbcd082c49e7290de2591f72,0001213900-25-013179,1828098,STKH,Steakholder Foods Ltd.,Steakholder Foods Ltd. (Filer),6-K,Form 6-K - Report of foreign issuer [Rules 13a-16 and 15d-16],2025-02-13T08:07:15-05:00,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/0001213900-25-013179.txt,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/0001213900-25-013179-index.htm,,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/ea0230980-6k_steakholder.htm,2025-02-13,,,,,,,,,,,,3,GRAPHIC,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/ex99-1_001.jpg,GRAPHIC,5270,,,,,,,,,,
6a8edceafbcd082c49e7290de2591f72,0001213900-25-013179,1828098,STKH,Steakholder Foods Ltd.,Steakholder Foods Ltd. (Filer),6-K,Form 6-K - Report of foreign issuer [Rules 13a-16 and 15d-16],2025-02-13T08:07:15-05:00,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/0001213900-25-013179.txt,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/0001213900-25-013179-index.htm,,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/ea0230980-6k_steakholder.htm,2025-02-13,,,,,,,,,,,, ,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1828098/000121390025013179/0001213900-25-013179.txt, ,35003,,,,,,,,,,
589c2cb7b4adc5b4808983d836e996f8,0001661140-25-000001,1661140,,"Oribel Capital Management, LP","Oribel Capital Management, LP (Filer)",13F-HR,"Form 13F-HR - Quarterly report filed by institutional managers, Holdings",2025-02-13T08:07:26-05:00,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/0001661140-25-000001.txt,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/0001661140-25-000001-index.htm,,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/xslForm13F_X02/primary_doc.xml,2024-12-31,2025-02-13,"Oribel Capital Management, LP (Filer)",1661140,474376050,DE,1231,13F-HR,34,028-17769,25617286,,,,,,,,,,,,,,,,
589c2cb7b4adc5b4808983d836e996f8,0001661140-25-000001,1661140,,"Oribel Capital Management, LP","Oribel Capital Management, LP (Filer)",13F-HR,"Form 13F-HR - Quarterly report filed by institutional managers, Holdings",2025-02-13T08:07:26-05:00,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/0001661140-25-000001.txt,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/0001661140-25-000001-index.htm,,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/xslForm13F_X02/primary_doc.xml,2024-12-31,2025-02-13,,,,,,,,,,,1,,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/xslForm13F_X02/primary_doc.xml,13F-HR, ,,,,,,,,,,
589c2cb7b4adc5b4808983d836e996f8,0001661140-25-000001,1661140,,"Oribel Capital Management, LP","Oribel Capital Management, LP (Filer)",13F-HR,"Form 13F-HR - Quarterly report filed by institutional managers, Holdings",2025-02-13T08:07:26-05:00,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/0001661140-25-000001.txt,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/0001661140-25-000001-index.htm,,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/xslForm13F_X02/primary_doc.xml,2024-12-31,2025-02-13,,,,,,,,,,,1,,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/primary_doc.xml,13F-HR,2016,,,,,,,,,,
589c2cb7b4adc5b4808983d836e996f8,0001661140-25-000001,1661140,,"Oribel Capital Management, LP","Oribel Capital Management, LP (Filer)",13F-HR,"Form 13F-HR - Quarterly report filed by institutional managers, Holdings",2025-02-13T08:07:26-05:00,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/0001661140-25-000001.txt,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/0001661140-25-000001-index.htm,,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/xslForm13F_X02/primary_doc.xml,2024-12-31,2025-02-13,,,,,,,,,,,2,"ORIBEL CAPITAL MANAGEMENT, LP INFORMATION TABLE",https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/xslForm13F_X02/Form13FInfoTable.xml,INFORMATION TABLE, ,,,,,,,,,,
589c2cb7b4adc5b4808983d836e996f8,0001661140-25-000001,1661140,,"Oribel Capital Management, LP","Oribel Capital Management, LP (Filer)",13F-HR,"Form 13F-HR - Quarterly report filed by institutional managers, Holdings",2025-02-13T08:07:26-05:00,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/0001661140-25-000001.txt,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/0001661140-25-000001-index.htm,,https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/xslForm13F_X02/primary_doc.xml,2024-12-31,2025-02-13,,,,,,,,,,,2,"ORIBEL CAPITAL MANAGEMENT, LP INFORMATION TABLE",https://www.sec.gov/Archives/edgar/data/1661140/000166114025000001/Form13FInfoTable.xml,INFORMATION TABLE,47820,,,,,,,,,,
