Symbol,SymbolID,SymbolValue,Exchange,ShortName,PrimarySymbol,CompanyId,StandardName,LastPrice,LastVolume,MarketCap,StockType,StyleBox,StyleScore,SizeScore,FinancialHealthGrade,GrowthGrade,GrowthScore,EconomySphereCode,ProfitabilityGrade,ValueScore,IsShortable,ListingDate,SectorName,IndustryGroupName,IndustryName,SectorETF,IndustryGroupETF,IndustryETF,DollarVolume,QCSymbol,QCSymbolID,NewsSourceSymbol
FCNCA R735QTJ8XC9X,FCNCA R735QTJ8XC9X,FCNCA,NAS,First Citizens BancShares,FCNCA,0C000007MZ,First Citizens BancShares Inc,1437.48,152647,2.05E+10,3,6,258.92034,154.11816,F,B,102.61663,1,C,75.53706,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,2.19E+08,FCNCA,FCNCA R735QTJ8XC9X,FCNCA.BenzingaNews R735QTJ8XC9W
FMC R735QTJ8XC9X,FMC R735QTJ8XC9X,FMC,NYS,FMC,FMC,0C000007PR,FMC Corp,60.23,2496276,7.42E+09,3,7,93.40254,87.50579,C,C,42.49869,1,C,55.55601,Yes,1998-01-02,BasicMaterials,A,AgriculturalInputs,XLB,NaN,MOO,1.50E+08,FMC,FMC R735QTJ8XC9X,FMC.BenzingaNews R735QTJ8XC9W
FM R735QTJ8XC9X,FM R735QTJ8XC9X,JACK,NAS,Jack In The Box,JACK,0C00000BMZ,Jack In The Box Inc,84.79,455393,1.63E+09,3,8,116.24283,-2.71906,C,B,51.75417,1,A,59.7676,Yes,1998-01-02,ConsumerCyclical,Restaurants,Restaurants,XLY,XLY,XLY,3.86E+07,FM,FM R735QTJ8XC9X,FM.BenzingaNews R735QTJ8XC9W
SMG R735QTJ8XC9X,SMG R735QTJ8XC9X,SMG,NYS,Scotts Miracle Gro,SMG,0C000008YA,The Scotts Miracle Gro Co,61.98,992165,3.45E+09,4,7,-51.24276,45.06332,C,C,3.51108,1,D,48.51081,Yes,1998-01-02,BasicMaterials,A,AgriculturalInputs,XLB,NaN,MOO,6.15E+07,SMG,SMG R735QTJ8XC9X,SMG.BenzingaNews R735QTJ8XC9W
FLS R735QTJ8XC9X,FLS R735QTJ8XC9X,FLS,NYS,Flowserve,FLS,0C000007PN,Flowserve Corp,40.36,1272029,5.22E+09,3,9,203.28399,71.09193,B,D,60.22324,3,C,49.01514,Yes,1998-01-02,Industrials,IndustrialProducts,SpecialtyIndustrialMachinery,XLI,XLI,XLI,5.13E+07,FLS,FLS R735QTJ8XC9X,FLS.BenzingaNews R735QTJ8XC9W
FLIC R735QTJ8XC9X,FLIC R735QTJ8XC9X,FLIC,NAS,First of Long Island,FLIC,0C000007O9,First of Long Island Corp,13.2,283446,2.94E+08,6,7,-18.88521,-100.21313,C,C,31.55527,1,C,69.40939,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,3.74E+06,FLIC,FLIC R735QTJ8XC9X,FLIC.BenzingaNews R735QTJ8XC9W
SMP R735QTJ8XC9X,SMP R735QTJ8XC9X,SMP,NYS,Standard Motor Products,SMP,0C00000CCT,Standard Motor Products Inc,40.62,390971,8.71E+08,3,7,46.59042,-36.55887,B,C,41.24275,1,C,64.63771,Yes,1998-01-02,ConsumerCyclical,VehiclesAndParts,AutoParts,XLY,CARZ,CARZ,1.59E+07,SMP,SMP R735QTJ8XC9X,SMP.BenzingaNews R735QTJ8XC9W
FLEXF R735QTJ8XC9X,FLEXF R735QTJ8XC9X,FLEX,NAS,Flex,FLEX,0C000007PC,Flex Ltd,28.66,10164858,1.25E+10,7,2,146.12849,253.22482,B,C,58.43089,3,B,57.08714,Yes,1998-01-02,Technology,Hardware,ElectronicComponents,XLK,VGT,XSD,2.91E+08,FLEXF,FLEXF R735QTJ8XC9X,FLEXF.BenzingaNews R735QTJ8XC9W
FIZ R735QTJ8XC9X,FIZ R735QTJ8XC9X,FIZZ,NAS,National Beverage,FIZZ,0C000008JI,National Beverage Corp,50.97,164611,4.62E+09,7,9,200.57952,64.49685,A,C,46.90133,2,A,36.29046,Yes,1998-01-02,ConsumerDefensive,BeveragesNonAlcoholic,BeveragesNonAlcoholic,XLP,PBJ,PBJ,8.39E+06,FIZ,FIZ R735QTJ8XC9X,FIZ.BenzingaNews R735QTJ8XC9W
FIX R735QTJ8XC9X,FIX R735QTJ8XC9X,FIX,NYS,Comfort Systems USA,FIX,0C00000AMT,Comfort Systems USA Inc,205.39,357341,7.26E+09,3,9,271.3646,89.74864,B,B,69.4495,3,C,43.20697,Yes,1998-01-02,Industrials,Construction,EngineeringAndConstruction,XLI,PKB,PKB,7.34E+07,FIX,FIX R735QTJ8XC9X,FIX.BenzingaNews R735QTJ8XC9W
FITB R735QTJ8XC9X,FITB R735QTJ8XC9X,FITB,NAS,Fifth Third Bancorp,FITB,0C000007LZ,Fifth Third Bancorp,35.14,12846793,2.38E+10,3,4,19.59259,150.10413,C,C,39.12545,1,C,71.42154,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,4.51E+08,FITB,FITB R735QTJ8XC9X,FITB.BenzingaNews R735QTJ8XC9W
SMTC R735QTJ8XC9X,SMTC R735QTJ8XC9X,SMTC,NAS,Semtech,SMTC,0C000008ZD,Semtech Corp,22.88,2607026,1.43E+09,3,8,179.70944,-18.90517,C,C,44.97654,3,C,38.97447,Yes,1998-01-02,Technology,Semiconductors,Semiconductors,XLK,SOXX,XSD,5.96E+07,SMTC,SMTC R735QTJ8XC9X,SMTC.BenzingaNews R735QTJ8XC9W
SNA R735QTJ8XC9X,SNA R735QTJ8XC9X,SNA,NYS,Snap-on,SNA,0C0000093I,Snap-on Inc,289.2,333134,1.51E+10,3,5,131.61123,132.77,A,C,48.28746,3,C,52.79246,Yes,1998-01-02,Industrials,IndustrialProducts,ToolsAndAccessories,XLI,XLI,XLI,9.63E+07,SNA,SNA R735QTJ8XC9X,SNA.BenzingaNews R735QTJ8XC9W
FIC R735QTJ8XC9X,FIC R735QTJ8XC9X,FICO,NYS,Fair Isaac,FICO,0C000007K7,Fair Isaac Corp,1129.59,403447,2.79E+10,2,6,291.31542,168.49404,A,C,65.09905,3,A,29.98248,Yes,1998-01-02,Technology,Software,SoftwareApplication,XLK,IGV,IGV,4.56E+08,FIC,FIC R735QTJ8XC9X,FIC.BenzingaNews R735QTJ8XC9W
FFIN R735QTJ8XC9X,FFIN R735QTJ8XC9X,FFIN,NAS,First Finl Bankshares,FFIN,0C000007NF,First Financial Bankshares Inc,30.47,845564,4.29E+09,3,8,126.05959,55.57324,C,C,37.60232,1,C,43.44789,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,2.58E+07,FFIN,FFIN R735QTJ8XC9X,FFIN.BenzingaNews R735QTJ8XC9W
