cik,symbol,root,company_name,cusip,figi,class_figi,exchange,related,sector,industry,sic,sic_name,sector_etf,industry_etf,mkt_cap,employees,shares_out,ipo_date,win_rate,total_count,recent_count,avg_abs_return,max_return,min_return
0000037785,FMC,FMC,FMC CORP,302491303,BBG000BJP882,BBG001S5R880,NYS,[],BasicMaterials,AgriculturalInputs,2800,CHEMICALS & ALLIED PRODUCTS,XLB,MOO,4311821002.28,6600.0,124840000.0,1986-05-29,0.612565445026178,191.0,127.0,1.2670421936936938,5.355819,-7.628036000000001
0000825542,SMG,SMG,SCOTTS MIRACLE-GRO CO,810186106,BBG000BT5PG5,BBG001S5W5H0,NYS,[],BasicMaterials,AgriculturalInputs,2870,AGRICULTURAL CHEMICALS,XLB,MOO,3866763256.0,5300.0,57470000.0,1992-01-31,0.5751633986928104,153.0,109.0,2.225626186440678,9.063994,-16.911300999999998
0000030625,FLS,FLS,FLOWSERVE CORP,34354P105 266849108,BBG000FFH4P5,BBG001SB3F87,NYS,"['AIT', 'IR', 'GGG', 'GHM', 'CR', 'ITT', 'EMR', 'PH', 'IR', 'TEX']",Industrials,SpecialtyIndustrialMachinery,3561,PUMPS & PUMPING EQUIPMENT,XLI,XLI,8257011705.150001,16000.0,131380000.0,1972-06-30,0.7169811320754716,106.0,73.0,1.868359882352941,14.005894,-7.296652
0000088941,SMTC,SMTC,SEMTECH CORP,816850101,BBG000DBKR53,BBG001S7TWW4,NAS,"['ANET', 'MTSI', 'MKSI', 'DIOD', 'AEIS', 'TER']",Technology,Semiconductors,3674,SEMICONDUCTORS & RELATED DEVICES,XLK,XSD,4697611566.45,1917.0,84530000.0,1992-03-17,0.5096774193548387,155.0,88.0,2.7586070549450548,18.757845,-29.120439
0000883241,SNPS,SNPS,SYNOPSYS INC,871607107,BBG000BSFRF3,BBG001S5VTR8,NAS,"['CDNS', 'ASUR', 'AZPN', 'ANSS', 'SNOW', 'META', 'WWD', 'PSTG', 'KEYS', 'WTS']",Technology,SoftwareInfrastructure,7372,SERVICES-PREPACKAGED SOFTWARE,XLK,IGV,81035171840.00002,20300.0,153610000.0,1992-03-03,0.5210727969348659,261.0,151.0,1.1881067588652483,9.108614999999999,-3.55839
0000034903,FRT,FRT,FEDERAL REALTY INVESTMENT TRUST,313747206 313745101 313747404,BBG000BJVN28,BBG001S5RC36,NYS,"['O', 'REG', 'CBRE', 'REG', 'BRX', 'KIM', 'AKR', 'KRG', 'UE', 'SPG']",RealEstate,REITRetail,6798,REAL ESTATE INVESTMENT TRUSTS,XLRE,IYR,9429319147.4,322.0,84960000.0,1984-12-17,0.696969696969697,99.0,71.0,0.8721386911764706,4.02381,-3.3438969999999997
0000087347,SLB,SLB,SCHLUMBERGER LIMITED,806857108,BBG000BT41Q8,BBG001S5W4C8,NYS,"['HAL', 'BKR', 'VLO', 'KMI', 'LBRT', 'MPC', 'EOG', 'CLB', 'HAL', 'NOV']",Energy,OilAndGasEquipmentAndServices,1389,"OIL & GAS FIELD SERVICES, NEC",XLE,XES,57020823756.63999,111000.0,1419840000.0,1962-02-02,0.5119453924914675,293.0,203.0,1.2016326520467837,10.311022000000001,-5.963381
0001040971,SLG,SLG,SL GREEN REALTY CORP,78440X101 78440X887 78440X804,BBG000BVP5P2,BBG001S9Z1V2,NYS,"['ARE', 'VNO', 'BXP', 'DEI', 'HIW', 'KRC', 'CUZ', 'PDM', 'BDN', 'JBGS']",RealEstate,REITOffice,6798,REAL ESTATE INVESTMENT TRUSTS,XLRE,IYR,4691691030.0,1188.0,71740000.0,1997-08-15,0.5620437956204379,137.0,111.0,1.3026836411764704,9.477780000000001,-6.692086
0000849869,SLGN,SLGN,SILGAN HOLDINGS INC,827048109,BBG000BPDDB6,BBG001S6VPD9,NYS,"['AIT', 'DOV']",ConsumerCyclical,PackagingAndContainers,3411,METAL CANS,XLY,PKB,5740212437.5,14400.0,106800000.0,1997-02-14,0.6363636363636364,88.0,70.0,1.163399589285714,4.850104,-15.190421
0001063761,SPG,SPG,SIMON PROPERTY GROUP INC,828806109 828781104 828805101,BBG000BJ2D31,BBG001S77WM9,NYS,"['FRT', 'KIM', 'O', 'REG', 'MAC', 'SKT', 'BRX', 'KIM', 'FRT', 'AKR']",RealEstate,REITRetail,6798,REAL ESTATE INVESTMENT TRUSTS,XLRE,IYR,58668246337.02,3000.0,326040000.0,1993-12-14,0.5211267605633803,142.0,75.0,0.9111177398843929,5.115318,-6.003357
