commit	rel	bytes	sha256
929d6ed05acd6de66118407bd35aaef50a4988b6	<tree>	450391	2fc647aaefb5efabe87377fe75aad396f4602dca626952d326cdf299d956d961
929d6ed05acd6de66118407bd35aaef50a4988b6	<tree>	450391	2fc647aaefb5efabe87377fe75aad396f4602dca626952d326cdf299d956d961
cd961e51d55bf13aa9311b79c5d7eca20e9b11cc	<tree>	489268	0cfa6cbb9a04bc00778492c4d85f6f4303e375c6e3510f449420e28b57b00ea0
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/agents/lean-probe.md	358	28736c63efd7d2ffb9066a02b47dc69751f8c0c867fa42d6546db812c7c8e515
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/FableExperimentPlan_v2.md	36754	6d66d3b8197d521d9ebf3f0e88fac18786f68fda82af62a142d3cb7f91807716
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/_assemble_arms.py	919	77e209bc688a8fdf8af48bd3551787b7acc0354eb16920cf0fd28c4b82d8a184
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/_canoncheck.js	680	b7615b2e31e4509655f4641ec405404267b9cd67e86e102e9438e1f470b0ff7c
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/_exp0_classifications.json	5867	fe8ce71a7bae6996dee822e7a10047b214a22dccbacfad4aff69fb5eeaa9c5e2
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/_exp0_evidence.py	5208	d4f47da39ba5a01de480c9b66d4e42f9135f3df82ecf398c1505cc5c556ec7d1
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/_exp0_finalize.py	4124	e2b33fe58907bca316247bfa3a63d83ad2dc7fcea2e5cae4b3139386c1d1aee4
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/_exp0_package.py	4816	a0de9f47412c7d567f28c1fe090288114ce5fa3c6f94ce70374ef2b1beac654e
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/_exp0_v12_finalize.py	5728	74b048b3e5fe6b426548a4d7b6d67057ee3658afbfb3638c92e45021fee6380f
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/_exp0_v13_composite.py	7472	7a015c25050bddaf5c970ca7a8e5b7b9ee5a6bea8c41a7323be179c289ff3fa2
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/_mk_manifest.py	7326	5af49b638e2f18f488e1b428fdec098151df61b83bd4a3f42468a44e1bfb23dd
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/_verify_verdicts.py	1348	c245d5bf04642b64f1247648b47c66ae72cae552bf14c8d9e6962bbc341e9230
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/audit_worker_access.py	4400	82ff15b901c628b376b911c5f755be6aad54e896b0c1d4e9eb695ba94a99a34e
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/build_exp5_contract.py	12495	cb151cf6f72fb0be0882b9767a26fa6ec0a1b4901811081c7199cf91b5a1ff87
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/build_fa_inputs.py	5180	aa81ebe7afcb6a36f73b92758b68de9c65ff89f769e90574ef2f7cc51fcdc072
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/build_kfields_inputs.py	5641	d879dd2b9325488a7985b966d53d5db7f065a1ae4a4a89dce480ed08c285ce12
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/build_kpairs_v1.py	48286	58bae56b86fff3d30f8f0130a991f1969af01fa5732e802d85a0042770dad465
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/build_launch_manifest.py	19398	a4e8f548970009e94fd691072c24ed5e60fa829e51be65f4093c82e6b497f410
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/dualcik_scope.py	7867	9e89eef1627ccfd883866bf1fed577853feeceb6b468e310aa97568ed75c8f52
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/exp1_completion.py	28404	9b612e9b8bffdbbadd596171e16acd611524c646371375e67df1bd34bca4122a
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/exp5_menu_mapping_v3.md	4147	8b7b9bb1db3bfdae6c562eacbec40d84727efdcad858ed34203c5f04e9d0afff
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/exp5_prompt_contract.manifest.json	1382	1cf043f9d202766399b2b4bde6d23cf3a50faa91e429f156e509d8f025be6264
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/exp5_prompt_drafter.md	25478	f4c556960bbb191147b7a7d6d9cffb8dee32dd790f7654ce5c8bfe486275927f
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/exp5_prompt_producer.md	25639	060d7c492d8a8717b75d31e54a52b3bf9c91fb95d54afe1df2cd5e0d8b8792cc
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/exp5_rev4_package.md	97783	86f31fbff77d52ddca9bd58957bcdddc5fe619caa3c1946800309ae8c524156d
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/exp5_scoring_spec_v3.md	11117	af05e9c2e22463f25bdf6e3673d30bac83eaed02a06a55631373ee80af9fb0e2
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/expected_test_nodes.txt	1825067	a4e585fd7df48e82b165dcdf608cd926f137241f35f6c487ce06b23ebaa1e512
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/frozen_proof_r15.txt	22735	166e7b655bc859681b05ef22e13fe874acc4fc5ce478fe6ff94dc2289cf3298a
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/g13_attack_fixtures.json	4110	c99fa5fb020cc487c22e36cee71a63851842e1590432e1b816548288dff27542
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/g_status_ledger.md	7939	d53d8599b0faa52c34911d668c75e9b52011a7aa04ef39ce824b16bd86cc9cbb
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/grader_probe.js	9112	224cd7b0b3deb2b964fd8b5271831eb56e174b56ffd70dca8282bbb5362229d7
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/grader_prompt_framing.txt	1752	5a543bd118c2e8af59bfd6cc9130b81b42c1112ca6bb9ff425af7f8aefdf5d74
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/import_inertness.py	9435	aef1f28100da4d8d2caa93756e5938fadcb681e7408a4262fdf49bc5bdd0f184
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/isolated_manifest_check.py	26318	535ddbfd679e94fb5a37596632d82948b4d7bb449e55c73fb8f89fc609b353eb
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/key_lint.py	15142	ff4c3a06cbd534796d29f755531880641cb173697151af70ac892b64ad12cf78
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/kf_lint.py	12803	48d9d19c2c647ceb893fc55e29af3e1fb2150eb7930214fa94f0814c2e1bae77
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/launch_exp5_readers.manifest.json	17994	bf9323bc3bdc75a45a7381ac97cf0d4e1403f8754f5ac419abe1136f589c3070
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/launch_exp5_readers.workflow.js	3393568	0713ea41677bb1c5126dcd88714a66d3663a2578516688732acf9098ebf7b105
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/launch_exp5_readers.workflow.template.js	5208	e923782b3bf283f30a6990342625c72fb1c61bdad5bd2eb182c7732cc455ed03
929d6ed05acd6de66118407bd35aaef50a4988b6	.claude/plans/Drivers/experiments/harness/launch_kfields_drafts.manifest.json	21031	565586fb8ecac3d5f25b9dbfa2a0280a23cd491461394f68d837e99e41d42512
