position	original_commit	published_commit	status
1	c89c6225fb56e58172a4a1c5ef5d6981253ba4c2	c89c6225fb56e58172a4a1c5ef5d6981253ba4c2	unchanged
2	26836bb309542163b7a1a0da480905e396d3668d	26836bb309542163b7a1a0da480905e396d3668d	unchanged
3	af39750f710f18e410c2f4d36a91763be261b4cc	af39750f710f18e410c2f4d36a91763be261b4cc	unchanged
4	3a67cabdbf6b009332b7cc455f9d2b0ccce7831b	3a67cabdbf6b009332b7cc455f9d2b0ccce7831b	unchanged
5	2e68bc829fab66501a76c0380c9ee874c869f52b	2e68bc829fab66501a76c0380c9ee874c869f52b	unchanged
6	35398a26bc105f5be455facd5eb91716b818165b	35398a26bc105f5be455facd5eb91716b818165b	unchanged
7	c07900f0179a89553cf15b8e045e4bb13f95bb4b	c07900f0179a89553cf15b8e045e4bb13f95bb4b	unchanged
8	fd1fee286721325e6abf0c67a2e0a544b0edc394	e9a0158e5a0eeefe3ad77ba87de1764d660c0ebb	rewritten
9	8c475037e82c9f15447bc76f3ba27cc7328a35da	ea6a799cd0214536f8fcc068a0c0a8a0f2c3f99a	rewritten
10	2792720295605a9b3796177974a9c2a110a90fd4	a39a0637bc2e1010223f63c0f127ec1facad9c6f	rewritten
11	1738f1c616d2d641c87af18380bb376ff54daf82	b5b8bcee026e4b14d9fb20923fff181e3a6f0c20	rewritten
12	f7562f6f0ad0aaf56100bce6b27d014bdb631f67	7e0e43e8766c856612a247badd8908a6fcd2e433	rewritten
13	69a80748daf6c34377cd4d1b4561a73a06d0e8b7	cafe7db993acc190163733025c120af3e357c316	rewritten
14	3619bbac1b16ef6fb6b2365b790a529cfe6a954f	abadc2d232d616b3472d5940bc5629ce884ec018	rewritten
15	329b65cdbe9320af15057c0ef4545e2bb354381b	90925920d5f2675191edfe5f1285c239177ca453	rewritten
