class	path	phase	candidate_path	kind
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-a4403809b33def3dc.jsonl	a3-record	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-a4403809b33def3dc.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-a7e66c746d1d7b369.jsonl	a3-record	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-a7e66c746d1d7b369.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-a95744bace98865b4.jsonl	a3-record	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-a95744bace98865b4.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-aa4ace286f0cb912a.jsonl	a3-record	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-aa4ace286f0cb912a.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-aa7fbd3d757d8b0be.jsonl	a3-record	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-aa7fbd3d757d8b0be.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-aa9dd557eb6d9e115.jsonl	a3-record	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-aa9dd557eb6d9e115.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-ab9d27266273a6494.jsonl	a3-record	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-ab9d27266273a6494.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-aea34779d0865d3b0.jsonl	a3-record	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-aea34779d0865d3b0.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_00a97996-695/agent-a2079ddf5d2be54c8.jsonl	record	inputs/a4_official/wf_00a97996-695/agent-a2079ddf5d2be54c8.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0121dbfd-b4b/agent-a9e6023b666626cc1.jsonl	record	inputs/a4_official/wf_0121dbfd-b4b/agent-a9e6023b666626cc1.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_01e7b70e-ab4/agent-a7ad1454690840f93.jsonl	record	inputs/a4_official/wf_01e7b70e-ab4/agent-a7ad1454690840f93.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_01ee8f8a-81a/agent-aedf721a4e8c795fb.jsonl	record	inputs/a4_official/wf_01ee8f8a-81a/agent-aedf721a4e8c795fb.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_022e0101-dd7/agent-a5970b874c392c82b.jsonl	record	inputs/a4_official/wf_022e0101-dd7/agent-a5970b874c392c82b.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_02e8bc53-de0/agent-a49b23030aa6e8811.jsonl	record	inputs/a4_official/wf_02e8bc53-de0/agent-a49b23030aa6e8811.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_03263156-577/agent-a2f8a6e16295598a4.jsonl	record	inputs/a4_official/wf_03263156-577/agent-a2f8a6e16295598a4.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_03a630fa-0ac/agent-a2e7ceebe301f50ce.jsonl	record	inputs/a4_official/wf_03a630fa-0ac/agent-a2e7ceebe301f50ce.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_044382a7-224/agent-ab13f16f5d5c6909c.jsonl	record	inputs/a4_official/wf_044382a7-224/agent-ab13f16f5d5c6909c.jsonl	read
projected	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_04e3c50f-68b/agent-a0e0184b188eaed67.jsonl	record	inputs/a4_official/wf_04e3c50f-68b/agent-a0e0184b188eaed67.jsonl	read
