phase	historical_path	candidate_path	bytes	sha256
a3-record	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-a4403809b33def3dc.jsonl	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-a4403809b33def3dc.jsonl	86302	04365b9eac810ca47b680ab5d8b58252420444d263b24a98b64f31be21c1933f
a3-record	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-a7e66c746d1d7b369.jsonl	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-a7e66c746d1d7b369.jsonl	99948	2e820aeea3292dc59752993d552c8ea9380647a2c7cb61861cc3d46bc5604c23
a3-record	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-a95744bace98865b4.jsonl	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-a95744bace98865b4.jsonl	79544	1db1854c31ce2651c49e2e2d98cb5c37bc48bd200b55e1d96b0fb6567be3aefa
a3-record	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-aa4ace286f0cb912a.jsonl	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-aa4ace286f0cb912a.jsonl	116306	181cdc4914b4e1cc667a12337e25535899323e519cf5a87e6748e8de69a849bf
a3-record	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-aa7fbd3d757d8b0be.jsonl	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-aa7fbd3d757d8b0be.jsonl	99850	9280531cf4e16747105331f8a9152d03f311abb2544b47611835beb5ac5ee63e
a3-record	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-aa9dd557eb6d9e115.jsonl	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-aa9dd557eb6d9e115.jsonl	100469	52a51cae0153af495e5ad52a7f04dc856f7db524fe94f77575ae9bdf93b1c74c
a3-record	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-ab9d27266273a6494.jsonl	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-ab9d27266273a6494.jsonl	101028	9d8594c085ff173930a604e10e75516a79adfd2933e3362ee8c8071d3dcc62b4
a3-record	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_0023319d-960/agent-aea34779d0865d3b0.jsonl	foundation/a3/evidence/subagent_records/wf_0023319d-960/agent-aea34779d0865d3b0.jsonl	79730	b6870a46be836cc73994f48df492cbd5bc05cc016163f411d948d17949a1ef9e
record	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_00a97996-695/agent-a2079ddf5d2be54c8.jsonl	inputs/a4_official/wf_00a97996-695/agent-a2079ddf5d2be54c8.jsonl	43267	59dbfa4630844dcf17b26bd75e14ac46c638c53c0ea238b9c90a7b22b113323d
record	/home/faisal/.claude/projects/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/subagents/workflows/wf_00a97996-695/journal.jsonl	inputs/a4_official/wf_00a97996-695/journal.jsonl	1555	6cb151348516681b2da127526af8fa48d2b09ed2f76ac86f2cceded68571c7ae
