check	got	want	status
sidecar reviewed_reconciliation.sha256	524e78c49f650bdd7cc2277c171f27180e4a011bb6b2830cd96057585f344476	524e78c49f650bdd7cc2277c171f27180e4a011bb6b2830cd96057585f344476	ok
sidecar reviewed_reconciliation.sha256 = placed file	524e78c49f650bdd7cc2277c171f27180e4a011bb6b2830cd96057585f344476	524e78c49f650bdd7cc2277c171f27180e4a011bb6b2830cd96057585f344476	ok
sidecar source_correction.receipt_file_sha256	a867227f1e720b7d63e09ae1bd252d964130761a98d4c7a59338deec95156cb7	a867227f1e720b7d63e09ae1bd252d964130761a98d4c7a59338deec95156cb7	ok
sidecar source_correction.receipt_sha256	ac58d2eb6e86179d3551310e781c2de169c56dbb149ae57cd64f1ce7f4c20441	ac58d2eb6e86179d3551310e781c2de169c56dbb149ae57cd64f1ce7f4c20441	ok
sidecar source_correction.changes	11	11	ok
sidecar rows decision=rebind	11	11	ok
validator problems	[]	[]	ok
validator module path from harness_g1v3	True	True	ok
correction outputs.final_inventory.json	1440d75131c0c7418a66821778a88d5c1ff8fd9bdf7f4cca4d561b596c1b3066	1440d75131c0c7418a66821778a88d5c1ff8fd9bdf7f4cca4d561b596c1b3066	ok
correction outputs.adjudication_sidecar.json	041ebf64e2dab6f6af67887d6b70b03262a5e90b82087ae630a403080c343e37	041ebf64e2dab6f6af67887d6b70b03262a5e90b82087ae630a403080c343e37	ok
correction outputs.validator_receipt.json	2e7afac63207d46513659a74f25c5811f04a1af40121ec82534993830e94adbb	2e7afac63207d46513659a74f25c5811f04a1af40121ec82534993830e94adbb	ok
correction versioned_inventory_path	/tmp/claude-1000/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/scratchpad/bench_1306/.claude/plans/Drivers/experiments/one_item_benchmark_inventory.v2_1487.json	/tmp/claude-1000/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/scratchpad/bench_1306/.claude/plans/Drivers/experiments/one_item_benchmark_inventory.v2_1487.json	ok
correction versioned inventory bytes = final_inventory	1440d75131c0c7418a66821778a88d5c1ff8fd9bdf7f4cca4d561b596c1b3066	1440d75131c0c7418a66821778a88d5c1ff8fd9bdf7f4cca4d561b596c1b3066	ok
correction source_receipt.file_sha256	a867227f1e720b7d63e09ae1bd252d964130761a98d4c7a59338deec95156cb7	a867227f1e720b7d63e09ae1bd252d964130761a98d4c7a59338deec95156cb7	ok
correction source_receipt.receipt_sha256	ac58d2eb6e86179d3551310e781c2de169c56dbb149ae57cd64f1ce7f4c20441	ac58d2eb6e86179d3551310e781c2de169c56dbb149ae57cd64f1ce7f4c20441	ok
correction census	{"changed_records": 11, "other_fields": 0, "quote": 11, "raw_label_or_claim": 1, "records": 196}	{"changed_records": 11, "other_fields": 0, "quote": 11, "raw_label_or_claim": 1, "records": 196}	ok
