field	owner_route	source_sha256
prompt_role	build_a5_exp5_kit.ONE_ITEM_ROLE_NAME	89853599d61b2c80e4c1bcbf009695d3d586fe869fbfbf3c7fb4308fc58d9101
contract_suffix	build_launch_manifest.PRODUCER_CONTRACT_SUFFIX	3f04dae5d7ffa8b661b1c008586598f36f24411196e3317754613b9a554d1e75
packets[196].packet_id,prompt_sha256,prompt_chars	build_launch_manifest._one_item_packets(_events(), role, contract_suffix) over the default inventory /tmp/claude-1000/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/scratchpad/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/../one_item_benchmark_inventory.json	57a1cdd01125bc1953a4e31c3f534760c2c15eaea4bf2d10c5c451a5e36d03ff
arms	build_a5_exp5_kit.active_arms() over the frozen kit /tmp/claude-1000/-home-faisal-EventMarketDB/5ae9b86b-f0f6-4449-beee-9cac7cfa7200/scratchpad/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/launch_exp5_readers.manifest.json	bf9323bc3bdc75a45a7381ac97cf0d4e1403f8754f5ac419abe1136f589c3070
counts.capacity.prompt_chars_max,prompt_utf8_bytes_max	build_launch_manifest.measured_capacity(packets, prompts) over the same population	3f04dae5d7ffa8b661b1c008586598f36f24411196e3317754613b9a554d1e75
harness_g1v3/launch_kfields_drafts.manifest.json (A1-era file the G1v3 A3 proof reads)	the accepted world's A3 harness copy (plan and bundle selected by the A3 receipt's manifest_sha256; the package proven through the plan's contract pins and the 392 transcript comparisons); displaced stage-1 copy d65e4f877ebebfc22f51fb98c3af28ca24c3320772a73046cad90a8955133f28	d65e4f877ebebfc22f51fb98c3af28ca24c3320772a73046cad90a8955133f28
harness_g1v3/launch_kfields_a1.bundle.json (A1-era file the G1v3 A3 proof reads)	the accepted world's A3 harness copy (plan and bundle selected by the A3 receipt's manifest_sha256; the package proven through the plan's contract pins and the 392 transcript comparisons); displaced stage-1 copy dc9442f344b59fae521dd6a6f672f7f9d627e143e24920977415ff591c995494	dc9442f344b59fae521dd6a6f672f7f9d627e143e24920977415ff591c995494
harness_g1v3/exp5_rev4_package.md (A1-era file the G1v3 A3 proof reads)	the accepted world's A3 harness copy (plan and bundle selected by the A3 receipt's manifest_sha256; the package proven through the plan's contract pins and the 392 transcript comparisons); displaced stage-1 copy c5211a1f8e96b053d0c7688b138bea7cb7e502bb4e6ffdc7456bf194a6f94359	c5211a1f8e96b053d0c7688b138bea7cb7e502bb4e6ffdc7456bf194a6f94359
manifest identity (seam)	historical identity of the absent full file, Core SEQ 1298/1299 and Codex SEQ 1480	804a3b190042244fddcc9349b0442a55cafed8bf2225270d02f2411078c4ed51
freeze identity (seam)	historical identity of the absent full file, Core SEQ 1298/1299 and Codex SEQ 1480	5d3503ff92a64c3bee457f3728eaedc2920b211096bbebd761320b0a8961ddea
