input	sha256	provenance
inputs/a3_reaudit_v2.py	d829a6197c71b6a38fb076b0bc6ceacb6fe9f9dcc8f8e3169e7cd6bb71e55b0e	model mirror scratchpad/a4/a3_reaudit_v2.py
inputs/a7_budget_receipt_1488.json	f6904a81569b13eab92f1582d195c90d8ef6005e41ee2b58cbfe05689e7bf506	targeted_1589/evidence/normalized_receipts (Codex capture, normalised; SEQ 1580)
inputs/a7_source_locator_audit_1486.json	a867227f1e720b7d63e09ae1bd252d964130761a98d4c7a59338deec95156cb7	committed locator unit 8c475037 (recovered bytes)
inputs/one_item_benchmark_inventory.v2_1487.json	1440d75131c0c7418a66821778a88d5c1ff8fd9bdf7f4cca4d561b596c1b3066	accepted correction export (correction_1488/out/attempt3_exact_recon/A)
inputs/harness_g1v3/FableExperimentPlan_v2.md	6d66d3b8197d521d9ebf3f0e88fac18786f68fda82af62a142d3cb7f91807716	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/_assemble_arms.py	77e209bc688a8fdf8af48bd3551787b7acc0354eb16920cf0fd28c4b82d8a184	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/_canoncheck.js	b7615b2e31e4509655f4641ec405404267b9cd67e86e102e9438e1f470b0ff7c	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/_exp0_classifications.json	fe8ce71a7bae6996dee822e7a10047b214a22dccbacfad4aff69fb5eeaa9c5e2	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/_exp0_evidence.py	d4f47da39ba5a01de480c9b66d4e42f9135f3df82ecf398c1505cc5c556ec7d1	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/_exp0_finalize.py	e2b33fe58907bca316247bfa3a63d83ad2dc7fcea2e5cae4b3139386c1d1aee4	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/_exp0_package.py	a0de9f47412c7d567f28c1fe090288114ce5fa3c6f94ce70374ef2b1beac654e	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/_exp0_v12_finalize.py	74b048b3e5fe6b426548a4d7b6d67057ee3658afbfb3638c92e45021fee6380f	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/_exp0_v13_composite.py	7a015c25050bddaf5c970ca7a8e5b7b9ee5a6bea8c41a7323be179c289ff3fa2	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/_mk_manifest.py	5af49b638e2f18f488e1b428fdec098151df61b83bd4a3f42468a44e1bfb23dd	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/_verify_verdicts.py	c245d5bf04642b64f1247648b47c66ae72cae552bf14c8d9e6962bbc341e9230	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/a1_reader.py	98055e556fdb0324c022f8f14db5ec463b4486914df48bda72b6c519e731e649	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/a2_runtime_freeze.json	c534022d391e409f48ae65a0ded6bbf7eb428d4a92a00407646cad77f8ef794a	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/a6_launch_freeze.py	226e5d71c25307fc4c9b23961a162c6875ea5970f6d37e1460e078af3811e454	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/a7_g1_build.py	747d1f9d439d9402cf02c6702b904b0e3cd8daf4ec39df15d90b535725c8e2a7	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/a7_g1_complete_v2.py	da067c23a5cd5d47afdd2ffbbd57cd94bf37fe7e683bd92c6ddb6f057f69580a	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/a7_g1_workflow_gate.py	e2386da5f64260acdc7da1a1b44c40c3fcad5a624affd3755b01448ce32d0703	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/a7_g23_build.py	97e0e2f1ce73209fcb101366dde4f9786a70ec9a13c782d6e0fe41b0322c7658	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/a7_key_correction.py	76cccc9afe9fbb099d9adf23d3af8d0e432c4e26de10d9299e30bbd98d3ea245	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/a7_od1_admission.py	b647d66424d4e062a526e0e4a989721b02c09a487d7eb1a0f9f263d67df80811	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/a7_prepared_run.py	43dcbd35d95d31123741f77f81e41599497101807790649cf7b1167651130751	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/a7_source_meta.py	4addd2f2e4b79bb292a8291a9cfbbcfd1efdc3d637b172ef40e1909275aa9d4a	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/audit_worker_access.py	d23ef33d396206569f6044702d23deac6f070b45c96451b70d2f8d2363a7d7a1	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_a5_exp5_kit.py	89853599d61b2c80e4c1bcbf009695d3d586fe869fbfbf3c7fb4308fc58d9101	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_exp5_contract.py	ffbcab3d7c7cc4c461d6828608aa59ddcc21d7d4b12b41f9ed6420f27dc5ed2c	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_fa_inputs.py	aa81ebe7afcb6a36f73b92758b68de9c65ff89f769e90574ef2f7cc51fcdc072	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_inventory_review.py	fcd18139f6c1393c55b81042820c3004ec8eae362fbe4bc7e219639c5754dcf7	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_kfields_final.py	bad84b2f9fab14443a167660dc631b8d556c143cf09233f54bf1c3b6b2649fee	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_kfields_final_targeted.py	fb7c820d765565cc19722938caeb8f8f5e4bdefa9c19a0443c48398fda20113d	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_kfields_hard_review.py	8eb98ec03331a2a605d7ec04570a875004ed989099de4f74c4a22b511ad90986	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_kfields_hard_review_targeted.py	b7a72cab000ff3d2d70d76daae2abb89c6973101d4283079f7b721f3cc6176f3	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_kfields_hr_correction.py	d4a0323a43ddd8e68487347652986dedf16a9ec2a277ca41d82a55db3d248ed4	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_kfields_inputs.py	d879dd2b9325488a7985b966d53d5db7f065a1ae4a4a89dce480ed08c285ce12	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_kfields_key.py	2d90aed33aab8b99857c43cb12458344fe5cd7c76ed70936cbbcba53e5999bde	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_kfields_key_targeted.py	5d80c4e0ad3083b80cf77dead88618faa16d10d2b1cb75db0d38ae3292a3c1b7	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_kpairs_v1.py	58bae56b86fff3d30f8f0130a991f1969af01fa5732e802d85a0042770dad465	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/build_launch_manifest.py	3f04dae5d7ffa8b661b1c008586598f36f24411196e3317754613b9a554d1e75	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/dualcik_scope.py	9e89eef1627ccfd883866bf1fed577853feeceb6b468e310aa97568ed75c8f52	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/exp1_completion.py	9b612e9b8bffdbbadd596171e16acd611524c646371375e67df1bd34bca4122a	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/exp5_menu_mapping_v3.md	8b7b9bb1db3bfdae6c562eacbec40d84727efdcad858ed34203c5f04e9d0afff	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/exp5_prompt_contract.manifest.json	1cf043f9d202766399b2b4bde6d23cf3a50faa91e429f156e509d8f025be6264	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/exp5_prompt_drafter.md	f4c556960bbb191147b7a7d6d9cffb8dee32dd790f7654ce5c8bfe486275927f	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/exp5_prompt_drafter.v2.md	1d457a84d803fdf81dd7694fa418e3b8422b93d59b038fe01cf395c46025fa96	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
inputs/harness_g1v3/exp5_prompt_producer.md	060d7c492d8a8717b75d31e54a52b3bf9c91fb95d54afe1df2cd5e0d8b8792cc	stage-1 tree harness_g1v3 (regen_1539/builds/stage1)
