check	got	want	status
calls	11	11	ok
targets in order	["0000006201-26-000031#001", "0000006201-26-000031#006", "0000006201-26-000031#008", "0000027904-26-000022#029", "0000092380-26-000044#042", "0000940944-26-000005#065", "0000940944-26-000009#068", "0000940944-26-000009#072", "0001041061-25-000109#075", "0001104659-26-027061#115", "0001171843-26-001288#133"]	["0000006201-26-000031#001", "0000006201-26-000031#006", "0000006201-26-000031#008", "0000027904-26-000022#029", "0000092380-26-000044#042", "0000940944-26-000005#065", "0000940944-26-000009#068", "0000940944-26-000009#072", "0001041061-25-000109#075", "0001104659-26-027061#115", "0001171843-26-001288#133"]	ok
correction.targets	["0000006201-26-000031#001", "0000006201-26-000031#006", "0000006201-26-000031#008", "0000027904-26-000022#029", "0000092380-26-000044#042", "0000940944-26-000005#065", "0000940944-26-000009#068", "0000940944-26-000009#072", "0001041061-25-000109#075", "0001104659-26-027061#115", "0001171843-26-001288#133"]	["0000006201-26-000031#001", "0000006201-26-000031#006", "0000006201-26-000031#008", "0000027904-26-000022#029", "0000092380-26-000044#042", "0000940944-26-000005#065", "0000940944-26-000009#068", "0000940944-26-000009#072", "0001041061-25-000109#075", "0001104659-26-027061#115", "0001171843-26-001288#133"]	ok
correction.frozen_inventory_sha256	"57a1cdd01125bc1953a4e31c3f534760c2c15eaea4bf2d10c5c451a5e36d03ff"	"57a1cdd01125bc1953a4e31c3f534760c2c15eaea4bf2d10c5c451a5e36d03ff"	ok
correction.correction_receipt_sha256	"bc5ac688abe66763a5cc99f9fb3a3708ba15b83c9a47fd327ffaac2dcb653eab"	"bc5ac688abe66763a5cc99f9fb3a3708ba15b83c9a47fd327ffaac2dcb653eab"	ok
correction.source_receipt	{"path": "/tmp/a7_source_locator_audit_1486.json", "file_sha256": "a867227f1e720b7d63e09ae1bd252d964130761a98d4c7a59338deec95156cb7", "receipt_sha256": "ac58d2eb6e86179d3551310e781c2de169c56dbb149ae57cd64f1ce7f4c20441"}	{"path": "/tmp/a7_source_locator_audit_1486.json", "file_sha256": "a867227f1e720b7d63e09ae1bd252d964130761a98d4c7a59338deec95156cb7", "receipt_sha256": "ac58d2eb6e86179d3551310e781c2de169c56dbb149ae57cd64f1ce7f4c20441"}	ok
correction.corrected_inventory_sha256	"1440d75131c0c7418a66821778a88d5c1ff8fd9bdf7f4cca4d561b596c1b3066"	"1440d75131c0c7418a66821778a88d5c1ff8fd9bdf7f4cca4d561b596c1b3066"	ok
inventory_sha256	"1440d75131c0c7418a66821778a88d5c1ff8fd9bdf7f4cca4d561b596c1b3066"	"1440d75131c0c7418a66821778a88d5c1ff8fd9bdf7f4cca4d561b596c1b3066"	ok
budget.budget_receipt_sha256	"f6904a81569b13eab92f1582d195c90d8ef6005e41ee2b58cbfe05689e7bf506"	"f6904a81569b13eab92f1582d195c90d8ef6005e41ee2b58cbfe05689e7bf506"	ok
budget.before/after/ceiling	[5168, 5179, 6000]	[5168, 5179, 6000]	ok
rules_sha256	"dae73ae098abeb7de4e2844a19398898714d0d1a89166d798486aa170c3a8b9a"	"dae73ae098abeb7de4e2844a19398898714d0d1a89166d798486aa170c3a8b9a"	ok
transport block	{"model_alias": "sonnet", "runtime_model_id": "claude-sonnet-5", "effort": "high", "agentType": "lean-probe", "disallowedTools": ["Read"], "CLAUDE_CODE_MAX_OUTPUT_TOKENS": "128000", "parent_session_id": "5ae9b86b-f0f6-4449-beee-9cac7cfa7200", "transport": "Claude Code Workflow agent(), subscription", "runtime_freeze_sha256": "c534022d391e409f48ae65a0ded6bbf7eb428d4a92a00407646cad77f8ef794a"}	{"model_alias": "sonnet", "runtime_model_id": "claude-sonnet-5", "effort": "high", "agentType": "lean-probe", "disallowedTools": ["Read"], "CLAUDE_CODE_MAX_OUTPUT_TOKENS": "128000", "parent_session_id": "5ae9b86b-f0f6-4449-beee-9cac7cfa7200", "transport": "Claude Code Workflow agent(), subscription", "runtime_freeze_sha256": "c534022d391e409f48ae65a0ded6bbf7eb428d4a92a00407646cad77f8ef794a"}	ok
a3_binding	{"retry_receipt": "4a2ecf870f390fc67f69d9937a48766a0e990bfff0046c6c486b660453b42465", "retry_finalization": "15cb7a2dc8c53f0d9ec093e34b816ff88f5ca678196c1896b32494a13a1f72b2", "primary_receipt": "19abb07cf23178434ff230443bb1d146f390226fcba3fa20c4a8d2c35e6e1536", "primary_finalization": "92e1872ce4e171e7829f13274216cff9b32aa237d137d6401cfd34e9c137a8d7"}	{"retry_receipt": "4a2ecf870f390fc67f69d9937a48766a0e990bfff0046c6c486b660453b42465", "retry_finalization": "15cb7a2dc8c53f0d9ec093e34b816ff88f5ca678196c1896b32494a13a1f72b2", "primary_receipt": "19abb07cf23178434ff230443bb1d146f390226fcba3fa20c4a8d2c35e6e1536", "primary_finalization": "92e1872ce4e171e7829f13274216cff9b32aa237d137d6401cfd34e9c137a8d7"}	ok
package_problems	[]	[]	ok
items prompt/script hashes recomputed	11	11	ok
items drafts = a3 drafts	11	11	ok
