harness_rel	sha256	source
a7_g1_build.py	f308259b74a245d3402f4e8dc9d45e930ee2754736ef6367cc9bb8635594de8d	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/owner_derive/a7_g1_build.g1v2.py
audit_worker_access.py	40639f42a7150d397c25d2984278376afa1a4eb6a5921f063fa4140e0334ef3e	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/inputs/owners/audit_worker_access_40639f42.py
raw_transport.py	64429e5fb59d19b63bbabe4af8809177755c3822a400e976532c579e15d77df5	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/inputs/owners/raw_transport_64429e5f.py
a7_g1_complete_v2.py	33daa5d75f1ceb9ae0b75d1d39d8b2d898756a46b42004766c60699a16070a23	carried by the backup copy
a7_g1_workflow_gate.py	e2386da5f64260acdc7da1a1b44c40c3fcad5a624affd3755b01448ce32d0703	carried by the backup copy
scorers/grade_batch.js	806a7560002a14ed5f3a4c79a78d85be0fac8abf773f8fdf9457c3d902e8abd6	carried by the backup copy
scorers/score_exp5.py	2901f1a615e988af30eba07d18e70bb5ad0473b52de6c537847f1bf3912b3a90	carried by the backup copy
lean_probe_agent (live, read-only bind)	28736c63efd7d2ffb9066a02b47dc69751f8c0c867fa42d6546db812c7c8e515	/home/faisal/EventMarketDB/.claude/agents/lean-probe.md
build_a5_exp5_kit.py	53386d2cb85642f69878fda5b40d8001423f568bae08c7c482f59c5bf8a441b2	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/inputs/owners/build_a5_exp5_kit_53386d2c.py	pin recorded at sendgate claims_1241.tsv h_build_a5_exp5_kit.py (harness at transcript line 60057, before the 64216 rsync)
build_launch_manifest.py	7ec105a6325c8f92905515d314a6082702611dcfc3714bec21d8d10d7657254c	a4_recovery/mutations_1566/missing_dependency/evidence/derived/harness/build_launch_manifest.py	pin recorded at sendgate claims_1221-1224 bench_build_launch_manifest.py at the rsync source path; last write line 25377, none before 64992
kf_lint.py	920742cf099fc56ed5773aee6d75e7e7ae180de949a96e2af420faa2f6135c2b	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/v3_import_closure_1668/owners/kf_lint.py	pin recorded at frozen-owner listing at transcript line 43762; no write to kf_lint.py after it before 64992
validate_benchmark_inventory.py	68ce2c1b487e1e0f16a084562da99675951bc57e31c4657700fa387da2ef4193	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/v3_import_closure_1668/owners/validate_benchmark_inventory.py	pin recorded at frozen-owner listings at transcript lines 29184 and 43762; latest recorded pin before the era
launch_kfields_drafts.manifest.json	d65e4f877ebebfc22f51fb98c3af28ca24c3320772a73046cad90a8955133f28	a4_recovery/regen_1570/targeted_1589/phase1_targeted_1488/inputs/a1_era/launch_kfields_drafts.manifest.json	pin recorded at latest recorded hash before the era: transcript lines 33765-53408 (151 occurrences); the next distinct value first appears at line 98953
a2_runtime_freeze.json	c534022d391e409f48ae65a0ded6bbf7eb428d4a92a00407646cad77f8ef794a	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/v3_import_closure_1668/owners/a2_runtime_freeze.json	pin recorded at only recorded value in the frozen record (first at line 32509); matches the recorded era size 2337 at line 60378
build_inventory_review.py	fcd18139f6c1393c55b81042820c3004ec8eae362fbe4bc7e219639c5754dcf7	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/v3_import_closure_1668/owners/build_inventory_review.py	pin recorded at frozen-owner listings at lines 29184 and 43762; its 87660 bytes equal the recorded era size in the line 60378 harness listing
launch_kfields_a1.bundle.json	dc9442f344b59fae521dd6a6f672f7f9d627e143e24920977415ff591c995494	a4_recovery/regen_1570/targeted_1589/phase1_targeted_1488/inputs/a1_era/launch_kfields_a1.bundle.json	pin recorded at latest recorded value before the era, last stated at line 53408 alongside the era plan manifest d65e4f87
harness_g1v3/a7_g1_build.py	48d8b32812e9e799d9d550174a2c7a4a7b2febb70aa814e2eb390ccd23d71d5d	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/owner_derive/a7_g1_build.g23.py	pin recorded at epoch-3 state at transcript step 69830 in the proved three-epoch derivation (MANIFEST_epochs.tsv)
harness_g1v2/a7_g1_build.py	f308259b74a245d3402f4e8dc9d45e930ee2754736ef6367cc9bb8635594de8d	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/owner_derive/a7_g1_build.g1v2.py	pin recorded at epoch-2 endpoint at transcript step 64805 (MANIFEST_epochs.tsv); stated by the 64998 root owner map
harness_g1v3/a7_g1_build.py	48d8b32812e9e799d9d550174a2c7a4a7b2febb70aa814e2eb390ccd23d71d5d	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/owner_derive/a7_g1_build.g23.py	pin recorded at epoch-3 state at transcript step 69830 (MANIFEST_epochs.tsv)
harness_g1v3/a7_g23_build.py	a49d803968f0afb450a73177b4aa6827721c68e48cc116b56a244905687c43fd	~/.core827_backups/recovery_1531/model/$(mktemp/.claude/plans/Drivers/experiments/harness/a7_g23_build.py	pin recorded at no recorded hash for this owner; the single durable copy carrying the pack_batches API the era caller invokes, accepted ONLY because the recorded 69854 result must reproduce
