required_input	state	detail
a3_recovery/regen_1541/bench/.claude/plans/Drivers/experiments/harness/exp5_prompt_producer.md	in_commit	under a whitelist root
a3_recovery/regen_1541/evidence/transcript/accepted_prefix.jsonl	preserved	lossless copy published; see PRESERVED.tsv
a3_recovery/regen_1541/ledger/chrono_replay.py	in_commit	under a whitelist root
a3_recovery/regen_1541/ledger/replay_transcript.py	in_commit	under a whitelist root
a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/one_item_benchmark_inventory.json	in_commit	under a whitelist root
a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/runs/a3_serial_run/receipt.json	in_commit	under a whitelist root
a4_recovery/regen_1570/foundation/out/5/a4_dir.txt	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt4/A/final_targeted.manifest.json	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt4/A/prompt_prefix_final_targeted.txt	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt5/A/LAUNCHERS.tsv	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt5/A/OPENED.tsv	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/hard_review_1495/inputs/pointers/hr_dir.txt	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/hard_review_1495/out/attempt10/A/LAUNCHERS.tsv	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/phase1_targeted_1488/inputs/one_item_benchmark_inventory.v2_1487.json	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_closure_1624/replay/scratch/test_a4_third_correction_1508.py	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/A4_SOURCES.json	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/A6_R3_SOURCES.json	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/A6_SOURCES.json	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/FT_SOURCES.json	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/MANIFEST_1726.sha256	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/freeze_1726.py	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/logs/a6_20260905T222516.log	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/logs/audit_20260905T205401.log	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/logs/first_a4_attempt_20260905T202523.log	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/logs/ft_20260905T211605.log	in_commit	under a whitelist root
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/logs/ft_20260905T212228.log	in_commit	under a whitelist root
