kind	what	log_or_output	sha256	marker	bound_identities	rc	note
executed	round 2 states recorded and finalized once	logs/a4_20260905T230912.log	31d8890318d2cb974250dd9bc7ad868585eb27290d5058cf0204886f15ef83f3	FINALIZE_ROUND1_OK	281811031aeb9a50 | ee6aaa97556b1aa5 | a4_final_targeted_corr2_run_1506 | runs_rw/a4_final_targeted_corr2_run_1506/receipt.json=281811031aeb9a50346ccd13b9261979f68b882802d4754347f1e906d43d421c | runs_rw/a4_final_targeted_corr2_run_1506/finalization.json=ee6aaa97556b1aa5e5145c998b26f01e1045f3bd7ec792a748c6992f354c9303		the FIRST stage pair of this log; the same log then repeats the two local stages and the second finalization REFUSES, because a finalized run is never finalized twice
executed	round 2 bound; ledger 5217	logs/a4_20260905T232316.log	d766a633d40696e646ff5622609ae8e66241ab5974990189153f65231b5a87c1	LEDGER_OK 5217	final_targeted_correction_2_primary 2 | fe3e6e03f9444aa2		
executed	round 3 corrected budget receipt	logs/a4_20260905T235533.log	cd49d56eb556790ab066bd9ec4bb3808e4c6530533d18a03ef3b3c782c0a83f2	BUDGET_1508_OK	ae27f66f2447dcf632345236cd0a4ec63aca6740628d723fa853caea1026d05a | 43cb623295a4a2dc328ab61980bf4e5357a86fba5aec0a6ca02821593c0f3d9c		
executed	round 3 package	logs/a4_20260905T235925.log	8a1afe22b9772753ca48e54842d4034d72b8db071ed47c7191e3314a9122a4dc	BUILD_PACKAGE_OK	eb3cce1754ef354e449e650daa163e73818f101bdfc464d6ec0659390d48c634 | 29672e0d91e3d68606fc9dbb53b19f1b2da2f841b8377b475bd6eca2bf780b90		
executed	round 3 prepared	logs/a4_20260906T000056.log	9a6880ad541a0d9a9988752f169641ddd6cd7b97f16d83f62c6a3dcd3e4dee83	PREPARE_DONE	071b41f781b0452c506e878cfa1115969f7fef3e876693b11935bf718b134544 | ledger 5217		
executed	round 3 states recorded and finalized once	logs/a4_20260906T000549.log	954a7ce0f2292ac41387c494b28b75b1f2d3f9d1ca4becacd955c55c4f66ba88	FINALIZE_ROUND1_OK	268f55910d888ced | 603be212f3320a21 | a4_final_targeted_corr3_run_1509 | runs_rw/a4_final_targeted_corr3_run_1509/receipt.json=268f55910d888ced32895f4ed3337146090dc66137f408f11d80e8b136cde1dd | runs_rw/a4_final_targeted_corr3_run_1509/finalization.json=603be212f3320a21c74ebedd44a16bb8495b8c2a2e17c128d3cb3c050ffa2fc9		
executed	round 3 evidence helper derived	logs/a4_20260906T001302.log	320c836dc48957089e30001cee7d6429dae135541cb5c827fbcfae1485780972	EVIDENCE_1509_OK	52b4210a96210283 | agents    rc=0 2		
executed	round 3 bound; ledger 5219	logs/a4_20260906T001648.log	89b8523c0f44ee3fde7d0afb5c623a5702450b2baedd8762dbdf9aac1eb19b66	LEDGER_OK 5219	final_targeted_correction_3_primary 2 | 6438b015564c8f504511e0619caebb8a1d8f85a7e12dd8b0c8ee22d04b442ef1		
executed	final candidate built and verified	logs/a4_20260906T003331.log	a636bb229d3df7e5be0eba4fd13faa6e97cabbb60c23287441806929700c2b1e	BUILD_CANDIDATE_OK	verify problems: [] | "rows": 196 | open_issues 0 tags_below_floor []		this one build plus its fresh C.verify is the two-identical-builds proof
executed	saved signer harvested, no new call	logs/a4_20260906T005300.log	a6d9ab2fd3117b4bc0af30d9b6c655b68e734bfcdfb1becac68b923ab0b28c78	HARVEST_OK	wf_8dedf1de-a52 | signed=True blocked=[] | fd57049fdc9df15247094ec869feba546c2410bd1eea57a7a740543738c86aeb		
executed	the four owed checker cases under real pytest	logs/a4_20260906T010803.log	1c771a5c1278f48bfb7a1ef5b9d5fb5e12cc995fa2015d2e2be6df6c4af25703	CHECK_CANDIDATE_OK	4 passed | dd4e321d7009887da0813fda85badbfe78083f86c887c3283cd277126c48151d		
executed	lock and receipt written once	logs/a4_20260906T011110.log	f679fb0a4bcfc41bd32932c61f9145e0ccef7b1830af70f50c381a6cac8a1645	LOCK_OK	63018354e6b26a8061a114934df15fe035b44fe031dcf00768b440983d43b8a0 | 7f1f7bef4d02b9c5501d9ec6d8d5b9eab5e8aab225092878b7280964bd5d44e3 | mutations 28/28 refused | lock/final_key_candidate_1511/a4_final_key_lock.json=63018354e6b26a8061a114934df15fe035b44fe031dcf00768b440983d43b8a0 | lock/final_key_candidate_1511/a4_final_key_lock_receipt.json=7f1f7bef4d02b9c5501d9ec6d8d5b9eab5e8aab225092878b7280964bd5d44e3		
executed	the signed checkpoint re-checked read-only	logs/a4_20260906T013007.log	d28839cd370f70dac82575f1fe996fe14a5b4aa6435eb05b8f069856ebc68106	CHECKPOINT_OK	verify problems: [] | 5219 | 5220		
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_build_wrapper_refusal.py	FREEZE_1743/testout/test_build_wrapper_refusal.py.out	4ee2d14a383e052aba15df51dd895f344198ad0f9b71bd59af85d3f01037009d			0	recovery-side test output
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_stage_propagation.py	FREEZE_1743/testout/test_stage_propagation.py.out	64ff9a7fb600583e5cfecb1b3cc81e3e62d325e0fab34c48f5040caeb7a14c9c			0	recovery-side test output
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_recovery_wrappers_1741.py	FREEZE_1743/testout/test_recovery_wrappers_1741.py.out	a91271e3b8c0e84bb6eb1934b34a398dcea079d023402f74d159628d1f137e97			0	recovery-side test output
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_placement_rules.py	FREEZE_1743/testout/test_placement_rules.py.out	af447e219603babdcdb810adde2779fa29feae7533abb8d6ff5e0712df6d7e92			0	recovery-side test output
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_freeze_gates_1742.py	FREEZE_1743/testout/test_freeze_gates_1742.py.out	df917f01ab1ae675b773c7181797c4b410c4cd148def3aa1a1dcec901e55a71b			0	recovery-side test output
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_boundary_checks_1743.py	FREEZE_1743/testout/test_boundary_checks_1743.py.out	7eef8f7ab55e780ce315911d35c0c3a4ac9c378da7b38925df56b285bf9f78c1			0	recovery-side test output
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_handoff_command_1744.py	FREEZE_1743/testout/test_handoff_command_1744.py.out	1f140dd3c827710cc6e1308ef604e9ad5c07d69dc9e30fb82d5e7e596b748c43			0	recovery-side test output
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_final_safety_1745.py	FREEZE_1743/testout/test_final_safety_1745.py.out	f36abdb11ad0c5da5d37a984c2c46f145d96a7df2b3fa23b77445262e33c6071			0	recovery-side test output
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/tests/test_extraction_1726.py	FREEZE_1743/testout/test_extraction_1726.py.out	29cd929b5fa457cc445e1040cc345b58bf4543a0cb420042024bc71d6e777464			0	recovery-side test output
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/tests/test_missed_writes_1727.py	FREEZE_1743/testout/test_missed_writes_1727.py.out	040df23caa397d1aa311ef671d64dea81ae21a7cd5a90addd95eaa75116ab969			0	recovery-side test output
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/tests/test_mixed_command_1728.py	FREEZE_1743/testout/test_mixed_command_1728.py.out	742b9f3b228993c7e7e6cbc1972876ccec63271aa9e51c983221ddbc1d5da132			0	recovery-side test output
reused	checker: 9 of its 13 cases	records 87726 (invocation), 87817, 87823, 87835	dd4e321d7009887da0813fda85badbfe78083f86c887c3283cd277126c48151d	source before 28646d249e08726e497fd32c2e0d43cdaaf5c96b9e157e0e7c3613d29db4c0b5	source after dd4e321d7009887da0813fda85badbfe78083f86c887c3283cd277126c48151d		13 cases: 4 executed today, 9 reused; the patch changed only test_the_composed_row_maps_are_exported_by_the_composition_owner_and_verified_independently
reused	correction suite: all 17 cases	records 87703, 87711, 87726 (invocation), 87773, 87779, 87788	a3fb098e3a144ba03536d94e2959b3ed64d8b04c85f829b479a20c576fad727c	source before bb50489c2bcb62bd32ed18f143c6d0110277f45418c66b9c91a1c6bbc1616538	source after a3fb098e3a144ba03536d94e2959b3ed64d8b04c85f829b479a20c576fad727c		17 cases: 0 executed today, 17 reused; the patch changed only test_run_1506_is_bound_once_and_counted_by_its_own_owner
reused	two identical candidate builds	logs/a4_20260906T003331.log	c9235c77fb018b22b7c54d7058c4bb8b54338df89800ebf29438433b937d4ab4				the builder this reuse binds
