required_root	source	in_commit	already_tracked_files
a3_recovery/regen_1541/bench/.claude/plans/Drivers/experiments/harness/exp5_prompt_producer.md	derived	yes	0
a3_recovery/regen_1541/evidence/transcript/accepted_prefix.jsonl	derived	yes	0
a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/one_item_benchmark_inventory.json	derived	yes	1
a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/runs/a3_serial_run/receipt.json	derived	yes	1
a4_recovery/regen_1570/foundation/out/5/a4_dir.txt	derived	yes	0
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt4/A/final_targeted.manifest.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt4/A/prompt_prefix_final_targeted.txt	derived	yes	0
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt5/A/LAUNCHERS.tsv	derived	yes	0
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt5/A/OPENED.tsv	derived	yes	0
a4_recovery/regen_1570/targeted_1589/hard_review_1495/inputs/pointers/hr_dir.txt	derived	yes	1
a4_recovery/regen_1570/targeted_1589/hard_review_1495/out/attempt10/A/LAUNCHERS.tsv	derived	yes	1
a4_recovery/regen_1570/targeted_1589/phase1_targeted_1488/inputs/one_item_benchmark_inventory.v2_1487.json	derived	yes	1
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/A6_R3_SOURCES.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/MANIFEST_1726.sha256	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/freeze_1726.py	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/patch_replay.py	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/proved/a6_launch_freeze.f0d7b828.py	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/proved/budget_receipt_1508.43cb6232.py	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/proved/evidence_1495.py	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/recover_a4_owner.py	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/tests	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/verify_prior_unit.py	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/MANIFEST_g23.sha256	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/out_g1/tmp__a7_g1_event_run4__root.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/out_g23/tmp__a7_g2_candidate__a7_g1_candidate.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/out_g23/tmp__a7_g3_candidate__a7_g1_candidate.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/inputs/history_store/WORKFLOWS.tsv	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/inputs/receipts/a7_budget_receipt_1505.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1741/EVIDENCE.tsv	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1741/MANIFEST.sha256	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1741/RESTART.md	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1741/UNCHANGED.tsv	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1741/WHITELIST.tsv	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1742	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/bench/bench_1306	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/era_owners/corr_1501/build_a5_exp5_kit.py	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/evidence	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/launch/a4_targeted_run_1491_launch	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/launcher	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/lock	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/logs	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/manifest	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/out	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/pkg/kfields_key_a4	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/reconstruct	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a4_final_targeted_run_1500	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a4_hard_review_run_1495	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a4_targeted_run_1491	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a7_g1_run3	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a7_od1_run	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a7_od1_run_v2	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a7_v3_prepared_run_1479	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs_rw	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/session_store/projects	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/superseded	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_budget_receipt_1488.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_budget_receipt_1492.json	derived	yes	0
