kind	what	marker	bound_run_identity	log_or_output	sha256	rc
executed	round 2 states recorded in the receipt's scheduled order	RECORD_ROUND1_OK	a4_final_targeted_corr2_run_1506	logs/a4_20260906T000549.log	954a7ce0f2292ac41387c494b28b75b1f2d3f9d1ca4becacd955c55c4f66ba88	
executed	round 2 finalized once	FINALIZE_ROUND1_OK	a4_final_targeted_corr2_run_1506	logs/a4_20260906T000549.log	954a7ce0f2292ac41387c494b28b75b1f2d3f9d1ca4becacd955c55c4f66ba88	
executed	round 2 bound; ledger 5217	LEDGER_OK 5217	final_targeted_correction_2_primary	logs/a4_20260905T232316.log	d766a633d40696e646ff5622609ae8e66241ab5974990189153f65231b5a87c1	
executed	round 3 corrected budget receipt ae27f66f	BUDGET_1508_OK	ae27f66f2447dcf632345236cd0a4ec63aca6740628d723fa853caea1026d05a	logs/a4_20260905T235533.log	cd49d56eb556790ab066bd9ec4bb3808e4c6530533d18a03ef3b3c782c0a83f2	
executed	round 3 package eb3cce17	BUILD_PACKAGE_OK	eb3cce1754ef354e449e650daa163e73818f101bdfc464d6ec0659390d48c634	logs/a4_20260905T235925.log	8a1afe22b9772753ca48e54842d4034d72b8db071ed47c7191e3314a9122a4dc	
executed	round 3 prepared receipt 071b41f7	PREPARE_DONE	071b41f781b0452c506e878cfa1115969f7fef3e876693b11935bf718b134544	logs/a4_20260906T000056.log	9a6880ad541a0d9a9988752f169641ddd6cd7b97f16d83f62c6a3dcd3e4dee83	
executed	round 3 evidence helper derived	EVIDENCE_1509_OK	evidence_1509.py	logs/a4_20260906T001302.log	320c836dc48957089e30001cee7d6429dae135541cb5c827fbcfae1485780972	
executed	round 3 bound; ledger 5219	LEDGER_OK 5219	final_targeted_correction_3	logs/a4_20260906T001648.log	89b8523c0f44ee3fde7d0afb5c623a5702450b2baedd8762dbdf9aac1eb19b66	
executed	final candidate built and verified	BUILD_CANDIDATE_OK	verify problems: []	logs/a4_20260906T003331.log	a636bb229d3df7e5be0eba4fd13faa6e97cabbb60c23287441806929700c2b1e	
executed	saved signer harvested (no new call)	HARVEST_OK	wf_8dedf1de-a52	logs/a4_20260906T005300.log	a6d9ab2fd3117b4bc0af30d9b6c655b68e734bfcdfb1becac68b923ab0b28c78	
executed	four owed checker cases under real pytest	CHECK_CANDIDATE_OK	4 passed	logs/a4_20260906T010803.log	1c771a5c1278f48bfb7a1ef5b9d5fb5e12cc995fa2015d2e2be6df6c4af25703	
executed	lock and receipt written once; 28/28 mutations refuse	LOCK_OK	63018354e6b26a8061a114934df15fe035b44fe031dcf00768b440983d43b8a0	logs/a4_20260906T011110.log	f679fb0a4bcfc41bd32932c61f9145e0ccef7b1830af70f50c381a6cac8a1645	
executed	the signed checkpoint re-checked read-only	CHECKPOINT_OK	verify problems: []	logs/a4_20260906T013007.log	d28839cd370f70dac82575f1fe996fe14a5b4aa6435eb05b8f069856ebc68106	
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_build_wrapper_refusal.py	recovery-side test		FREEZE_1742/testout/test_build_wrapper_refusal.py.out	4ee2d14a383e052aba15df51dd895f344198ad0f9b71bd59af85d3f01037009d	0
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_stage_propagation.py	recovery-side test		FREEZE_1742/testout/test_stage_propagation.py.out	64ff9a7fb600583e5cfecb1b3cc81e3e62d325e0fab34c48f5040caeb7a14c9c	0
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_recovery_wrappers_1741.py	recovery-side test		FREEZE_1742/testout/test_recovery_wrappers_1741.py.out	a91271e3b8c0e84bb6eb1934b34a398dcea079d023402f74d159628d1f137e97	0
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_placement_rules.py	recovery-side test		FREEZE_1742/testout/test_placement_rules.py.out	af447e219603babdcdb810adde2779fa29feae7533abb8d6ff5e0712df6d7e92	0
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests/test_freeze_gates_1742.py	recovery-side test		FREEZE_1742/testout/test_freeze_gates_1742.py.out	df917f01ab1ae675b773c7181797c4b410c4cd148def3aa1a1dcec901e55a71b	0
executed	a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/tests/test_extraction_1726.py	recovery-side test		FREEZE_1742/testout/test_extraction_1726.py.out	29cd929b5fa457cc445e1040cc345b58bf4543a0cb420042024bc71d6e777464	0
