"Name","Key Props","Comment","Cypher"
"compare_two_entities_metric","ticker1, ticker2, qname","Compare metric for two tickers","MATCH (c1:Company {ticker:$ticker1})<-[:PRIMARY_FILER]-(r1:Report)-[:HAS_XBRL]->(:XBRLNode)<-[:REPORTS]-(f1:Fact)-[:HAS_CONCEPT]->(con:Concept {qname:$qname}) MATCH (c2:Company {ticker:$ticker2})<-[:PRIMARY_FILER]-(r2:Report)-[:HAS_XBRL]->(:XBRLNode)<-[:REPORTS]-(f2:Fact)-[:HAS_CONCEPT]->(con) WHERE f1.is_numeric='1' AND f2.is_numeric='1' RETURN c1.ticker, f1.value AS v1, c2.ticker, f2.value AS v2 ORDER BY r1.created DESC LIMIT 1"
"distinct_companies_with_fact","qname, from, to, limit","Companies reporting a concept in period","MATCH (c:Company)<-[:PRIMARY_FILER]-(r:Report)-[:HAS_XBRL]->(:XBRLNode)<-[:REPORTS]-(f:Fact)-[:HAS_CONCEPT]->(con:Concept {qname:$qname}) WHERE r.created >= date($from) AND r.created <= date($to) RETURN DISTINCT c.ticker LIMIT $limit"
"entities_without_property","Label, prop, limit","Entities missing property","MATCH (n:$Label) WHERE n.$prop IS NULL RETURN n LIMIT $limit"
"entity_filter_property","Label, prop, value, limit","Entities where property equals value","MATCH (n:$Label) WHERE n.$prop = $value RETURN n LIMIT $limit"
"entity_list","Label, limit","List first N entities of a given label","MATCH (n:$Label) RETURN n LIMIT $limit"
"entity_property_range_filter","Label, prop, min, max, limit","Entities where numeric prop in range","MATCH (n:$Label) WHERE toFloat(n.$prop) >= $min AND toFloat(n.$prop) <= $max RETURN n LIMIT $limit"
"entity_search_text","Label, prop, text, limit","Full-text search on property","MATCH (n:$Label) WHERE toLower(n.$prop) CONTAINS toLower($text) RETURN n LIMIT $limit"
"fact_lookup","ticker, form, qname","Retrieve Fact value for concept in latest filing","MATCH (c:Company {ticker:$ticker})<-[:PRIMARY_FILER]-(r:Report {formType:$form})-[:HAS_XBRL]->(:XBRLNode)<-[:REPORTS]-(f:Fact)-[:HAS_CONCEPT]->(con:Concept {qname:$qname}) WHERE f.is_numeric='1' RETURN r.created, f.value ORDER BY r.created DESC LIMIT 1"
"fact_on_report_date","ticker, qname, limit","Fact value on same date as news","MATCH (n:News)-[:INFLUENCES]->(c:Company {ticker:$ticker}) WITH c, date(datetime(n.created)) AS d MATCH (c)<-[:PRIMARY_FILER]-(r:Report) WHERE date(datetime(r.created)) = d MATCH (r)-[:HAS_XBRL]->(:XBRLNode)<-[:REPORTS]-(f:Fact)-[:HAS_CONCEPT]->(con:Concept {qname:$qname}) WHERE f.is_numeric='1' RETURN d, f.value LIMIT $limit"
"fact_summary_aggregate","ticker, qname, from, to, agg","Aggregate (avg/sum) of Fact values for concept across period","MATCH (c:Company {ticker:$ticker})<-[:PRIMARY_FILER]-(r:Report)-[:HAS_XBRL]->(:XBRLNode)<-[:REPORTS]-(f:Fact)-[:HAS_CONCEPT]->(con:Concept {qname:$qname}) WHERE f.is_numeric='1' AND r.created >= date($from) AND r.created <= date($to) WITH toFloat(f.value) AS v WHERE NOT isNaN(v) RETURN $agg(v) AS result"
"fulltext_search_section","index, text, limit","Fulltext search by index term","CALL db.index.fulltext.queryNodes('$index', $text) YIELD node,score RETURN node,score LIMIT $limit"
"hierarchy_traverse","ticker","Walk BELONGS_TO chain from Company to top","MATCH path = (c:Company {ticker:$ticker})-[:BELONGS_TO*1..3]->(g) RETURN c.ticker AS company, [n IN nodes(path) | labels(n)[0]] AS levels"
"industry_members","industry, limit","Companies in an Industry","MATCH (i:Industry {name:$industry})<-[:BELONGS_TO]-(c:Company) RETURN c.ticker, c.name ORDER BY c.mkt_cap DESC LIMIT $limit"
"influence_by_date","Event, Target, ticker, date, cmp, delta, limit","INFLUENCES on a date with delta filter","MATCH (e:$Event)-[r:INFLUENCES]->(t:$Target {ticker:$ticker}) WHERE date(datetime(e.created)) = date($date) AND r.daily_stock IS NOT NULL AND r.daily_stock <> 'NaN' AND toFloat(r.daily_stock) $cmp toFloat(r.daily_macro) + $delta RETURN e,r LIMIT $limit"
"latest_report_for_company","ticker, form","Most recent report of formType for a ticker","MATCH (c:Company {ticker:$ticker})<-[:PRIMARY_FILER]-(r:Report {formType:$form}) RETURN r ORDER BY r.created DESC LIMIT 1"
"metric_relation_pattern","Metric1, RelMetric, Metric2, limit","Generic Metric relationship traversal","MATCH (m1:$Metric1)-[:$RelMetric]->(m2:$Metric2) RETURN m1,m2 LIMIT $limit"
"moving_average_metric","Rel, Target, ticker, metric, from, to","Moving avg of metric in period","MATCH (d:Date)-[p:$Rel]->(t:$Target {ticker:$ticker}) WHERE d.date >= date($from) AND d.date <= date($to) WITH t,avg(toFloat(p.$metric)) AS ma RETURN t.ticker,ma"
