cik,symbol,root,company_name,cusip,figi,class_figi,exchange,related,sector,industry,sic,sic_name,sector_etf,industry_etf,mkt_cap,employees,shares_out,ipo_date,win_rate,total_count,recent_count,avg_abs_return,max_return,min_return,fiscal_year_end_month,fiscal_year_end_day
37785,FMC,FMC,FMC CORP,302491303,BBG000BJP882,BBG001S5R880,NYS,[],BasicMaterials,AgriculturalInputs,2800,CHEMICALS & ALLIED PRODUCTS,XLB,MOO,4311821002,6600,124840000,1986-05-29,0.612565445,191,127,1.2670421936936938,5.355819,-7.628036,12,31
825542,SMG,SMG,SCOTTS MIRACLE-GRO CO,810186106,BBG000BT5PG5,BBG001S5W5H0,NYS,[],BasicMaterials,AgriculturalInputs,2870,AGRICULTURAL CHEMICALS,XLB,MOO,3866763256,5300,57470000,1992-01-31,0.5751633986928104,153,109,2.225626186440678,9.063994,-16.911301,9,30
30625,FLS,FLS,FLOWSERVE CORP,34354P105 266849108,BBG000FFH4P5,BBG001SB3F87,NYS,"['AIT', 'IR', 'GGG', 'GHM', 'CR', 'ITT', 'EMR', 'PH', 'IR', 'TEX']",Industrials,SpecialtyIndustrialMachinery,3561,PUMPS & PUMPING EQUIPMENT,XLI,IYJ,8257011705.150001,16000,131380000,1972-06-30,0.7169811320754716,106,73,1.868359882352941,14.005894,-7.296652,12,31
88941,SMTC,SMTC,SEMTECH CORP,816850101,BBG000DBKR53,BBG001S7TWW4,NAS,"['ANET', 'MTSI', 'MKSI', 'DIOD', 'AEIS', 'TER']",Technology,Semiconductors,3674,SEMICONDUCTORS & RELATED DEVICES,XLK,SOXX,4697611566,1917,84530000,1992-03-17,0.5096774193548387,155,88,2.7586070549450548,18.757845,-29.120439,1,26
883241,SNPS,SNPS,SYNOPSYS INC,871607107,BBG000BSFRF3,BBG001S5VTR8,NAS,"['CDNS', 'ASUR', 'AZPN', 'ANSS', 'SNOW', 'META', 'WWD', 'PSTG', 'KEYS', 'WTS']",Technology,SoftwareInfrastructure,7372,SERVICES-PREPACKAGED SOFTWARE,XLK,IGV,81035171840.00002,20300,153610000,1992-03-03,0.5210727969348659,261,151,1.1881067588652483,9.108615,-3.55839,10,31
34903,FRT,FRT,FEDERAL REALTY INVESTMENT TRUST,313747206 313745101 313747404,BBG000BJVN28,BBG001S5RC36,NYS,"['O', 'REG', 'CBRE', 'REG', 'BRX', 'KIM', 'AKR', 'KRG', 'UE', 'SPG']",RealEstate,REITRetail,6798,REAL ESTATE INVESTMENT TRUSTS,XLRE,SRET,9429319147,322,84960000,1984-12-17,0.696969697,99,71,0.8721386911764706,4.02381,-3.343897,12,31
87347,SLB,SLB,SCHLUMBERGER LIMITED,806857108,BBG000BT41Q8,BBG001S5W4C8,NYS,"['HAL', 'BKR', 'VLO', 'KMI', 'LBRT', 'MPC', 'EOG', 'CLB', 'HAL', 'NOV']",Energy,OilAndGasEquipmentAndServices,1389,"OIL & GAS FIELD SERVICES, NEC",XLE,OIH,57020823756.63999,111000,1419840000,1962-02-02,0.5119453924914675,293,203,1.2016326520467835,10.311022,-5.963381,12,31
1040971,SLG,SLG,SL GREEN REALTY CORP,78440X101 78440X887 78440X804,BBG000BVP5P2,BBG001S9Z1V2,NYS,"['ARE', 'VNO', 'BXP', 'DEI', 'HIW', 'KRC', 'CUZ', 'PDM', 'BDN', 'JBGS']",RealEstate,REITOffice,6798,REAL ESTATE INVESTMENT TRUSTS,XLRE,IYR,4691691030,1188,71740000,1997-08-15,0.5620437956204379,137,111,1.3026836411764704,9.47778,-6.692086,3,31
849869,SLGN,SLGN,SILGAN HOLDINGS INC,827048109,BBG000BPDDB6,BBG001S6VPD9,NYS,"['AIT', 'DOV']",ConsumerCyclical,PackagingAndContainers,3411,METAL CANS,XLY,VDC,5740212438,14400,106800000,1997-02-14,0.6363636363636364,88,70,1.163399589285714,4.850104,-15.190421,12,31
1063761,SPG,SPG,SIMON PROPERTY GROUP INC,828806109 828781104 828805101,BBG000BJ2D31,BBG001S77WM9,NYS,"['FRT', 'KIM', 'O', 'REG', 'MAC', 'SKT', 'BRX', 'KIM', 'FRT', 'AKR']",RealEstate,REITRetail,6798,REAL ESTATE INVESTMENT TRUSTS,XLRE,SRET,58668246337,3000,326040000,1993-12-14,0.5211267605633803,142,75,0.9111177398843928,5.115318,-6.003357,12,31
