accession_8k,ticker,fy,q,oracle_source
0001090872-23-000008,A,2023,Q2,GT
0001090872-23-000013,A,2023,Q3,GT
0001090872-23-000018,A,2023,Q4,GT
0001090872-24-000006,A,2024,Q1,GT
0001090872-24-000017,A,2024,Q2,GT
0001090872-24-000024,A,2024,Q3,GT
0001090872-24-000042,A,2024,Q4,GT
0001090872-25-000003,A,2025,Q1,GT
0001090872-25-000013,A,2025,Q2,GT
0001090872-25-000034,A,2025,Q3,GT
0001090872-25-000070,A,2025,Q4,GT
0001090872-26-000015,A,2026,Q1,GT
0001157523-23-000580,AA,2023,Q1,GT
0001157523-23-001109,AA,2023,Q2,GT
0001157523-23-001501,AA,2023,Q3,GT
0001157523-24-000066,AA,2023,Q4,GT
0000950170-24-045115,AA,2024,Q1,GT
0000950170-24-082696,AA,2024,Q2,GT
0000950170-24-084275,AA,2024,Q2,GT
0000950170-24-115018,AA,2024,Q3,GT
0000950170-25-007765,AA,2024,Q4,GT
0000950170-25-054726,AA,2025,Q1,GT
0000950170-25-096260,AA,2025,Q2,GT
0001193125-25-246788,AA,2025,Q3,GT
0001193125-26-019438,AA,2025,Q4,GT
0000006201-23-000041,AAL,2023,Q1,GT
0000006201-23-000069,AAL,2023,Q2,GT
0000006201-23-000091,AAL,2023,Q3,GT
0000006201-24-000005,AAL,2023,Q4,GT
0000006201-24-000031,AAL,2024,Q1,GT
0000006201-24-000047,AAL,2024,Q2,GT
0000006201-24-000059,AAL,2024,Q3,GT
0000006201-25-000006,AAL,2024,Q4,GT
0000006201-25-000022,AAL,2025,Q1,GT
0000006201-25-000037,AAL,2025,Q2,GT
0000006201-25-000051,AAL,2025,Q3,GT
0000006201-26-000008,AAL,2025,Q4,GT
0000006201-26-000031,AAL,2026,Q1,GT
0001158449-23-000237,AAP,2023,Q3,GT
0001158449-24-000028,AAP,2023,Q4,GT
0001158449-24-000236,AAP,2024,Q3,GT
0001628280-25-047275,AAP,2025,Q3,GT
0000320193-23-000063,AAPL,2023,Q2,GT
0000320193-23-000075,AAPL,2023,Q3,GT
0000320193-23-000104,AAPL,2023,Q4,GT
0000320193-24-000005,AAPL,2024,Q1,GT
0000320193-24-000067,AAPL,2024,Q2,GT
0000320193-24-000080,AAPL,2024,Q3,GT
0000320193-24-000120,AAPL,2024,Q4,GT
0000320193-25-000007,AAPL,2025,Q1,GT
0000320193-25-000055,AAPL,2025,Q2,GT
0000320193-25-000071,AAPL,2025,Q3,GT
