ticker,accession_8k,filed_8k,candidate_d_outcome,candidate_d_fy,candidate_d_q,candidate_d_source,sec_truth_tier,sec_truth_fy,sec_truth_q,evidence_quote,evidence_url,document_type,document_name,evidence_method,raw_cached_path,companion_periodic_accession,companion_periodic_form,companion_periodic_filed,companion_periodic_period_of_report,companion_xbrl_fy,companion_xbrl_q,companion_cover_quote,reasoning
ACI,0001646972-23-000033,2023-04-11,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2022,Q4,fourth quarter of fiscal 2022,https://www.sec.gov/Archives/edgar/data/1646972/000164697223000033/aciq422earningsrelease.htm,EX-99.1,aciq422earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-23-000033/aciq422earningsrelease.htm,0001646972-23-000045,10-K,2023-04-25,2023-02-25,2022,FY,"For the fiscal year ended February 25 , 2023",current-period quote found in EX-99.1 (aciq422earningsrelease.htm)
ACI,0001646972-23-000051,2023-07-25,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2023,Q1,First Quarter Fiscal 2023,https://www.sec.gov/Archives/edgar/data/1646972/000164697223000051/aciq123earningsrelease.htm,EX-99.1,aciq123earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-23-000051/aciq123earningsrelease.htm,0001646972-23-000056,10-Q,2023-07-25,2023-06-17,2023,Q1,"For the quarterly period ended June 17, 2023",current-period quote found in EX-99.1 (aciq123earningsrelease.htm)
ACI,0001646972-23-000071,2023-10-17,FAIL_CLOSED,,,rule_f_fail_closed_fy_disagreement,A,2023,Q2,Second Quarter Fiscal 2023,https://www.sec.gov/Archives/edgar/data/1646972/000164697223000071/aciq223earningsrelease.htm,EX-99.1,aciq223earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-23-000071/aciq223earningsrelease.htm,0001646972-23-000072,10-Q,2023-10-17,2023-09-09,2023,Q2,"For the quarterly period ended September 9, 2023",current-period quote found in EX-99.1 (aciq223earningsrelease.htm)
ACI,0001646972-24-000006,2024-01-09,FAIL_CLOSED,,,rule_f_fail_closed_fy_disagreement,A,2023,Q3,Third Quarter Fiscal 2023,https://www.sec.gov/Archives/edgar/data/1646972/000164697224000006/aciq323earningsrelease.htm,EX-99.1,aciq323earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-24-000006/aciq323earningsrelease.htm,0001646972-24-000009,10-Q,2024-01-09,2023-12-02,2023,Q3,"For the quarterly period ended December 2, 2023",current-period quote found in EX-99.1 (aciq323earningsrelease.htm)
ACI,0001646972-24-000059,2024-04-22,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2023,Q4,fourth quarter of fiscal 2023,https://www.sec.gov/Archives/edgar/data/1646972/000164697224000059/aciq423earningsrelease.htm,EX-99.1,aciq423earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-24-000059/aciq423earningsrelease.htm,0001646972-24-000060,10-K,2024-04-22,2024-02-24,2023,FY,"For the fiscal year ended February 24 , 2024",current-period quote found in EX-99.1 (aciq423earningsrelease.htm)
ACI,0001646972-24-000164,2024-07-23,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q1,First Quarter Fiscal 2024,https://www.sec.gov/Archives/edgar/data/1646972/000164697224000164/aciq124earningsrelease.htm,EX-99.1,aciq124earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-24-000164/aciq124earningsrelease.htm,0001646972-24-000165,10-Q,2024-07-23,2024-06-15,2024,Q1,"For the quarterly period ended June 15, 2024",current-period quote found in EX-99.1 (aciq124earningsrelease.htm)
ACI,0001646972-24-000224,2024-10-15,FAIL_CLOSED,,,rule_f_fail_closed_fy_disagreement,A,2024,Q2,Second Quarter Fiscal 2024,https://www.sec.gov/Archives/edgar/data/1646972/000164697224000224/aciq224earningsrelease.htm,EX-99.1,aciq224earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-24-000224/aciq224earningsrelease.htm,0001646972-24-000225,10-Q,2024-10-15,2024-09-07,2024,Q2,"For the quarterly period ended September 7, 2024",current-period quote found in EX-99.1 (aciq224earningsrelease.htm)
ACI,0001646972-25-000007,2025-01-08,FAIL_CLOSED,,,rule_f_fail_closed_fy_disagreement,A,2024,Q3,Third Quarter Fiscal 2024,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000007/aciq324earningsrelease.htm,EX-99.1,aciq324earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-25-000007/aciq324earningsrelease.htm,0001646972-25-000008,10-Q,2025-01-08,2024-11-30,2024,Q3,"For the quarterly period ended November 30, 2024",current-period quote found in EX-99.1 (aciq324earningsrelease.htm)
ACI,0001646972-25-000040,2025-04-15,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q4,fourth quarter of fiscal 2024,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000040/aciq424earningsrelease.htm,EX-99.1,aciq424earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-25-000040/aciq424earningsrelease.htm,0001646972-25-000052,10-K,2025-04-21,2025-02-22,2024,FY,"For the fiscal year ended February 22 , 2025",current-period quote found in EX-99.1 (aciq424earningsrelease.htm)
ACI,0001646972-25-000059,2025-07-15,FAIL_CLOSED,,,rule_f_fail_closed_fy_disagreement,A,2025,Q1,First Quarter Fiscal 2025,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000059/aciq125earningsrelease.htm,EX-99.1,aciq125earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-25-000059/aciq125earningsrelease.htm,0001646972-25-000063,10-Q,2025-07-22,2025-06-14,2025,Q1,"For the quarterly period ended June 14, 2025",current-period quote found in EX-99.1 (aciq125earningsrelease.htm)
