accession_8k,ticker,filed_8k,period_of_report,fye_month,fy_xbrl,q_xbrl,fy_math,q_math,agreement,matched_accession_periodic,periodic_created,form_type_periodic,reason
0001193125-26-159018,AA,2026-04-16T16:12:31-04:00,,12,,,,,,,,,not_same_event_periodic
0001158449-23-000136,AAP,2023-05-31T06:31:10-04:00,2023-04-22,12,2023,Q1,2023,Q2,false,0001158449-23-000142,2023-06-05T18:23:38-04:00,10-Q,xbrl_math_disagree
0001158449-23-000201,AAP,2023-08-23T06:33:07-04:00,2023-07-15,12,2023,Q2,2023,Q3,false,0001158449-23-000204,2023-08-23T16:06:54-04:00,10-Q,xbrl_math_disagree
0001158449-24-000120,AAP,2024-05-29T06:35:20-04:00,2024-04-20,12,2024,Q1,2024,Q2,false,0001158449-24-000132,2024-05-29T21:37:15-04:00,10-Q,xbrl_math_disagree
0001158449-24-000192,AAP,2024-08-22T06:32:25-04:00,2024-07-13,12,2024,Q2,2024,Q3,false,0001158449-24-000195,2024-08-22T16:04:23-04:00,10-Q,xbrl_math_disagree
0001193125-25-163855,AAP,2025-07-24T08:10:10-04:00,2025-07-12,12,2025,Q2,2025,Q3,false,0001158449-25-000272,2025-08-14T16:03:18-04:00,10-Q,xbrl_math_disagree
0001158449-25-000268,AAP,2025-08-14T06:44:11-04:00,2025-07-12,12,2025,Q2,2025,Q3,false,0001158449-25-000272,2025-08-14T16:03:18-04:00,10-Q,xbrl_math_disagree
0001193125-26-049776,AAP,2026-02-13T06:33:39-05:00,2026-01-03,12,2026,Q4,2025,Q4,false,0001193125-26-051305,2026-02-13T16:04:10-05:00,10-K,xbrl_math_disagree
0001551152-26-000011,ABBV,2026-04-03T16:05:55-04:00,,12,,,,,,,,,not_same_event_periodic
0001628280-26-025365,ABT,2026-04-16T07:36:25-04:00,,12,,,,,,,,,not_same_event_periodic
0001437749-24-032658,ACHC,2024-10-30T17:21:43-04:00,,12,,,,,,,,,not_same_event_periodic
0001437749-25-016141,ACHC,2025-05-12T16:38:36-04:00,,12,,,,,,,,,not_same_event_periodic
0001646972-23-000010,ACI,2023-01-10T08:31:24-05:00,2022-12-03,2,2022,Q3,2023,Q3,false,0001646972-23-000011,2023-01-10T08:35:04-05:00,10-Q,xbrl_math_disagree
0001646972-23-000033,ACI,2023-04-11T08:31:31-04:00,2023-02-25,2,2022,Q4,2023,Q4,false,0001646972-23-000045,2023-04-25T16:10:00-04:00,10-K,xbrl_math_disagree
0001646972-23-000051,ACI,2023-07-25T08:31:15-04:00,2023-06-17,2,2023,Q1,2024,Q2,false,0001646972-23-000056,2023-07-25T16:36:19-04:00,10-Q,xbrl_math_disagree
0001646972-23-000071,ACI,2023-10-17T08:31:43-04:00,2023-09-09,2,2023,Q2,2024,Q3,false,0001646972-23-000072,2023-10-17T16:11:07-04:00,10-Q,xbrl_math_disagree
0001646972-24-000006,ACI,2024-01-09T08:32:45-05:00,2023-12-02,2,2023,Q3,2024,Q3,false,0001646972-24-000009,2024-01-09T16:14:02-05:00,10-Q,xbrl_math_disagree
0001646972-24-000059,ACI,2024-04-22T08:31:30-04:00,2024-02-24,2,2023,Q4,2024,Q4,false,0001646972-24-000060,2024-04-22T08:33:49-04:00,10-K,xbrl_math_disagree
0001646972-24-000164,ACI,2024-07-23T08:31:32-04:00,2024-06-15,2,2024,Q1,2025,Q2,false,0001646972-24-000165,2024-07-23T08:33:17-04:00,10-Q,xbrl_math_disagree
0001646972-24-000224,ACI,2024-10-15T08:31:39-04:00,2024-09-07,2,2024,Q2,2025,Q3,false,0001646972-24-000225,2024-10-15T08:33:05-04:00,10-Q,xbrl_math_disagree
0001646972-25-000007,ACI,2025-01-08T07:31:25-05:00,2024-11-30,2,2024,Q3,2025,Q3,false,0001646972-25-000008,2025-01-08T07:32:49-05:00,10-Q,xbrl_math_disagree
0001646972-25-000040,ACI,2025-04-15T07:30:55-04:00,2025-02-22,2,2024,Q4,2025,Q4,false,0001646972-25-000052,2025-04-21T16:24:39-04:00,10-K,xbrl_math_disagree
0001646972-25-000059,ACI,2025-07-15T07:31:16-04:00,2025-06-14,2,2025,Q1,2026,Q2,false,0001646972-25-000063,2025-07-22T16:05:23-04:00,10-Q,xbrl_math_disagree
0001646972-25-000080,ACI,2025-10-14T07:31:07-04:00,2025-09-06,2,2025,Q2,2026,Q3,false,0001646972-25-000083,2025-10-14T16:06:36-04:00,10-Q,xbrl_math_disagree
0001646972-26-000007,ACI,2026-01-07T07:30:56-05:00,2025-11-29,2,2025,Q3,2026,Q3,false,0001646972-26-000010,2026-01-07T16:06:37-05:00,10-Q,xbrl_math_disagree
0001646972-26-000028,ACI,2026-04-14T07:30:58-04:00,2026-02-28,2,2025,Q4,2026,Q4,false,0001646972-26-000032,2026-04-27T16:33:13-04:00,10-K,xbrl_math_disagree
0001628280-26-027353,ACMR,2026-04-27T09:06:07-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-23-086389,ADC,2023-08-01T16:25:18-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-24-050574,ADC,2024-04-23T16:06:00-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-24-081890,ADC,2024-07-23T16:05:42-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-24-110557,ADC,2024-10-22T16:05:37-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-25-037417,ADC,2025-04-22T16:05:47-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-25-072681,ADC,2025-07-31T16:06:47-04:00,,12,,,,,,,,,not_same_event_periodic
0000007084-24-000010,ADM,2024-03-12T10:53:47-04:00,,12,,,,,,,,,not_same_event_periodic
0000007084-24-000056,ADM,2024-11-18T16:34:57-05:00,,12,,,,,,,,,not_same_event_periodic
0000769397-24-000095,ADSK,2024-06-11T16:05:24-04:00,,1,,,,,,,,,not_same_event_periodic
