ticker,cik,accession,formType,filingDate,in_neo4j
A,0001090872,0001193125-26-117614,8-K,2026-03-20,YES
A,0001090872,0001193125-26-096487,8-K,2026-03-06,YES
A,0001090872,0001090872-26-000023,10-Q,2026-03-03,YES
A,0001090872,0001090872-26-000015,8-K,2026-02-25,YES
A,0001090872,0001090872-25-000087,10-K,2025-12-22,YES
A,0001090872,0001090872-25-000070,8-K,2025-11-24,YES
A,0001090872,0001193125-25-251622,8-K,2025-10-27,YES
A,0001090872,0001090872-25-000036,10-Q,2025-08-29,YES
A,0001090872,0001090872-25-000034,8-K,2025-08-27,YES
A,0001090872,0001090872-25-000028,8-K/A,2025-08-08,YES
A,0001090872,0001193125-25-159100,8-K,2025-07-15,YES
A,0001090872,0001090872-25-000021,10-Q,2025-06-02,YES
A,0001090872,0001090872-25-000013,8-K,2025-05-28,YES
A,0001090872,0000950170-25-075587,8-K,2025-05-21,YES
A,0001090872,0001193125-25-111596,8-K,2025-05-02,YES
A,0001090872,0000950170-25-049516,8-K,2025-04-02,YES
A,0001090872,0000950170-25-040344,8-K,2025-03-17,YES
A,0001090872,0001090872-25-000010,8-K,2025-03-03,YES
A,0001090872,0001090872-25-000008,10-Q,2025-03-03,YES
A,0001090872,0001090872-25-000003,8-K,2025-02-26,YES
A,0001090872,0001090872-24-000049,10-K,2024-12-20,YES
A,0001090872,0001090872-24-000045,8-K,2024-12-13,YES
A,0001090872,0001090872-24-000042,8-K,2024-11-25,YES
A,0001090872,0000950170-24-130441,8-K,2024-11-25,YES
A,0001090872,0001193125-24-215906,8-K,2024-09-09,YES
A,0001090872,0001193125-24-214337,8-K,2024-09-05,YES
A,0001090872,0001090872-24-000036,8-K,2024-09-03,YES
A,0001090872,0001090872-24-000033,10-Q,2024-08-30,YES
A,0001090872,0001090872-24-000024,8-K,2024-08-21,YES
A,0001090872,0001090872-24-000021,10-Q,2024-06-03,YES
A,0001090872,0001090872-24-000017,8-K,2024-05-29,YES
A,0001090872,0001193125-24-146578,8-K/A,2024-05-24,YES
