ticker,accession,formType,filedAt,category
DUK,0001104659-23-001832,8-K,2023-01-06,PRE_BACKFILL
H,0001398987-23-000003,8-K,2023-01-10,PRE_BACKFILL
BLK,0001564590-23-000399,8-K,2023-01-13,PRE_BACKFILL
H,0001398987-23-000005,8-K,2023-01-26,PRE_BACKFILL
AVXL,0001731122-23-000089,10-K/A,2023-01-27,PRE_BACKFILL
AVXL,0001731122-23-000089,10-K/A,2023-01-27,PRE_BACKFILL
SBUX,0000829224-23-000015,8-K,2023-02-02,PRE_BACKFILL
BG,0001144519-23-000005,8-K,2023-02-08,PRE_BACKFILL
FUN,0001193125-23-032767,8-K,2023-02-10,PRE_BACKFILL
SBGI,0000912752-23-000003,8-K,2023-02-10,PRE_BACKFILL
FUN,0000811532-23-000043,8-K,2023-02-16,PRE_BACKFILL
FUN,0000811532-23-000047,10-K,2023-02-17,PRE_BACKFILL
LSCC,0001437749-23-003778,10-K,2023-02-17,PRE_BACKFILL
SBGI,0000912752-23-000006,8-K,2023-02-22,PRE_BACKFILL
APA,0001784031-23-000008,10-K,2023-02-23,PRE_BACKFILL
H,0001398987-23-000013,8-K,2023-02-23,PRE_BACKFILL
BG,0001144519-23-000010,10-K,2023-02-24,PRE_BACKFILL
BLK,0001193125-23-048785,8-K,2023-02-24,PRE_BACKFILL
BLK,0000950170-23-004343,10-K,2023-02-24,PRE_BACKFILL
H,0001398987-23-000016,10-K,2023-02-24,PRE_BACKFILL
RGA,0000898174-23-000046,10-K,2023-02-24,PRE_BACKFILL
MKSI,0000950170-23-004684,NT 10-K,2023-02-27,PRE_BACKFILL
FLYW,0001193125-23-054140,NT 10-K,2023-02-28,PRE_BACKFILL
MARA,0001493152-23-006171,NT 10-K,2023-02-28,PRE_BACKFILL
ACMR,0001140361-23-009515,NT 10-K,2023-03-01,PRE_BACKFILL
ARRY,0001820721-23-000018,NT 10-K,2023-03-01,PRE_BACKFILL
FLS,0001193125-23-056301,NT 10-K,2023-03-01,PRE_BACKFILL
RKLB,0000950170-23-005613,NT 10-K,2023-03-01,PRE_BACKFILL
SBGI,0000912752-23-000010,10-K,2023-03-01,PRE_BACKFILL
LMND,0001691421-23-000026,NT 10-K,2023-03-02,PRE_BACKFILL
MTZ,0001193125-23-057403,NT 10-K,2023-03-02,PRE_BACKFILL
NMRK,0001193125-23-057358,NT 10-K,2023-03-02,PRE_BACKFILL
FUN,0000811532-23-000069,8-K,2023-03-06,PRE_BACKFILL
NTNX,0000950170-23-006244,NT 10-Q,2023-03-06,PRE_BACKFILL
ARRY,0001820721-23-000045,NT 10-K/A,2023-03-14,PRE_BACKFILL
ARRY,0001820721-23-000045,NT 10-K/A,2023-03-14,PRE_BACKFILL
