=== GAP ANALYSIS SUMMARY ===
Date Range,2023-01-01 to 2026-03-28
Companies Analyzed,796
Total EDGAR Filings,40275
Matched in Neo4j,35634
MISSING from Neo4j,4641
Match Rate,88.5%

=== MONTHLY GAPS ===
Month,8-K,10-Q,10-K,Other,Total Missing
2023-01,5,0,0,1,6
2023-02,10,0,6,0,16
2023-03,8,0,0,0,8
2023-04,7,2,0,0,9
2023-05,13,3,0,0,16
2023-06,6,0,0,0,6
2023-07,6,4,0,0,10
2023-08,4,3,0,0,7
2023-09,4,0,0,0,4
2023-10,3,1,0,0,4
2023-11,2,2,0,0,4
2023-12,1,0,0,0,1
2024-02,8,1,5,0,14
2024-04,2,1,0,0,3
2024-05,100,3,1,0,104
2024-06,1,0,0,0,1
2024-07,1,0,0,0,1
2024-08,291,241,5,3,540
2024-09,0,0,0,1,1
2024-11,176,40,16,15,247
2024-12,0,0,0,1,1
2025-01,1,0,0,0,1
2025-02,9,2,6,0,17
2025-05,9,3,0,0,12
2025-06,1,0,0,1,2
2025-07,1,1,0,0,2
2025-08,2,1,0,0,3
2025-09,4,0,0,0,4
2025-10,6,1,0,0,7
2025-11,405,311,1,5,722
2025-12,69,2,0,1,72
2026-01,537,23,17,15,592
2026-02,980,73,498,26,1577
2026-03,513,25,75,14,627

=== TOP COMPANIES WITH GAPS ===
Ticker,CIK,Missing,Matched,Total EDGAR,% Missing
ZI,0001794515,47,0,47,100.0
DTE,0000936340,30,63,93,32.3
PRU,0001137774,29,49,78,37.2
MSTR,0001050446,28,137,165,17.0
CMCSA,0001166691,19,47,66,28.8
FUN,0001999001,17,24,41,41.5
OVV,0001792580,17,59,76,22.4
AMC,0001411579,16,70,86,18.6
DUK,0001326160,15,55,70,21.4
NRG,0001013871,15,54,69,21.7
AXL,0001062231,14,43,57,24.6
IAC,0001800227,14,53,67,20.9
O,0000726728,14,76,90,15.6
OGS,0001587732,14,91,105,13.3
VCTR,0001570827,14,74,88,15.9
ACMR,0001680062,13,62,75,17.3
ALT,0001326190,13,32,45,28.9
MET,0001099219,13,72,85,15.3
PACB,0001299130,13,45,58,22.4
SRE,0001032208,13,64,77,16.9
STAA,0000718937,13,60,73,17.8
XENE,0001582313,13,35,48,27.1
DIS,0001744489,12,53,65,18.5
LPX,0000060519,12,38,50,24.0
MAA,0000912595,12,61,73,16.4
MIDD,0000769520,12,30,42,28.6
PAYC,0001590955,12,53,65,18.5
RARE,0001515673,12,55,67,17.9
RGEN,0000730272,12,38,50,24.0
RYTM,0001649904,12,46,58,20.7
SEE,0001012100,12,52,64,18.8
SMCI,0001375365,12,68,80,15.0
SSTK,0001549346,12,57,69,17.4
TSE,0001519061,12,55,67,17.9
ADM,0000007084,11,37,48,22.9
AWK,0001410636,11,79,90,12.2
AXSM,0001579428,11,60,71,15.5
BDX,0000010795,11,53,64,17.2
BR,0001383312,11,53,64,17.2
FOUR,0001794669,11,45,56,19.6
HL,0000719413,11,48,59,18.6
IIPR,0001677576,11,48,59,18.6
MKSI,0001049502,11,39,50,22.0
MOS,0001285785,11,36,47,23.4
NCLH,0001513761,11,51,62,17.7
OXY,0000797468,11,56,67,16.4
PLNT,0001637207,11,45,56,19.6
PODD,0001145197,11,51,62,17.7
PPL,0000922224,11,65,76,14.5
U,0001810806,11,40,51,21.6
