ticker,accession,formType,filedAt,in_secapi,in_edgar,in_neo4j,gap_type
AAP,0001193125-24-049060,NT 10-K,2024-02-28,YES,NO,NO,PIPELINE_LOST
AAP,0001193125-23-279408,NT 10-Q,2023-11-17,YES,NO,NO,PIPELINE_LOST
AAP,0001193125-23-159173,NT 10-Q,2023-06-01,YES,NO,NO,PIPELINE_LOST
ACCD,0001481646-24-000042,8-K,2024-08-07,YES,YES,NO,PIPELINE_LOST
ACMR,0001140361-23-009515,NT 10-K,2023-03-01,YES,NO,NO,PIPELINE_LOST
ADM,0001193125-24-054362,NT 10-K,2024-03-01,YES,NO,NO,PIPELINE_LOST
ADM,0001193125-24-256030,NT 10-Q,2024-11-12,YES,NO,NO,PIPELINE_LOST
ADSK,0001213900-24-028898,NT 10-K,2024-04-01,YES,NO,NO,PIPELINE_LOST
AES,0000950103-25-002789,NT 10-K,2025-03-03,YES,NO,NO,PIPELINE_LOST
AHCO,0001628280-25-032464,10-K/A,2025-06-20,YES,YES,NO,PIPELINE_LOST
AHCO,0001628280-25-032464,10-K/A,2025-06-20,YES,YES,NO,PIPELINE_LOST
AMCX,0001514991-26-000054,8-K,2026-04-08,YES,NO,NO,PIPELINE_LOST
AMRC,0001628280-26-013574,10-K,2026-03-03,YES,YES,NO,PIPELINE_LOST
AMTX,0001437749-24-008129,NT 10-K,2024-03-15,YES,NO,NO,PIPELINE_LOST
AMZN,0001104659-26-041034,8-K,2026-04-08,YES,NO,NO,PIPELINE_LOST
ANSS,0001140361-24-026369,8-K,2024-05-16,YES,YES,NO,PIPELINE_LOST
ANSS,0001140361-24-025692,8-K,2024-05-13,YES,YES,NO,PIPELINE_LOST
APA,0001193125-24-018915,8-K,2024-01-30,YES,NO,NO,PIPELINE_LOST
APA,0001193125-23-294344,8-K,2023-12-13,YES,NO,NO,PIPELINE_LOST
APA,0001784031-23-000008,10-K,2023-02-23,YES,NO,NO,PIPELINE_LOST
APA,0001784031-23-000026,10-Q,2023-11-02,YES,NO,NO,PIPELINE_LOST
APA,0001784031-23-000020,10-Q,2023-08-03,YES,NO,NO,PIPELINE_LOST
APA,0001784031-23-000014,10-Q,2023-05-04,YES,NO,NO,PIPELINE_LOST
ARRY,0001820721-23-000045,NT 10-K/A,2023-03-14,YES,NO,NO,PIPELINE_LOST
ARRY,0001820721-23-000018,NT 10-K,2023-03-01,YES,NO,NO,PIPELINE_LOST
ARRY,0001820721-23-000045,NT 10-K/A,2023-03-14,YES,NO,NO,PIPELINE_LOST
AVAV,0001104659-26-041267,8-K,2026-04-09,YES,NO,NO,PIPELINE_LOST
AVXL,0001731122-23-000089,10-K/A,2023-01-27,YES,YES,NO,PIPELINE_LOST
AVXL,0001731122-23-000089,10-K/A,2023-01-27,YES,YES,NO,PIPELINE_LOST
AXL,0001104659-26-009503,8-K,2026-02-03,NO,YES,NO,SOURCE_GAP
AXL,0001104659-25-102333,8-K,2025-10-27,NO,YES,NO,SOURCE_GAP
AXL,0001062231-23-000018,8-K,2023-02-17,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0000947871-23-000709,8-K,2023-06-29,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-23-000043,10-Q,2023-05-05,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001104659-26-010059,8-K,2026-02-04,NO,YES,NO,SOURCE_GAP
AXL,0000947871-26-000107,8-K,2026-02-10,NO,YES,NO,SOURCE_GAP
AXL,0001062231-24-000092,8-K,2024-11-08,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001104659-26-004579,8-K,2026-01-16,NO,YES,NO,SOURCE_GAP
AXL,0001062231-24-000084,10-Q,2024-08-09,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-24-000052,8-K,2024-05-03,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-26-000020,10-K,2026-02-13,NO,YES,NO,SOURCE_GAP
AXL,0001062231-26-000017,8-K,2026-02-13,NO,YES,NO,SOURCE_GAP
AXL,0001104659-25-089759,8-K,2025-09-15,NO,YES,NO,SOURCE_GAP
AXL,0001062231-23-000003,8-K,2023-01-03,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-24-000094,10-Q,2024-11-08,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-23-000055,10-Q,2023-08-04,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-25-000095,8-K,2025-11-07,NO,YES,NO,SOURCE_GAP
AXL,0001062231-24-000082,8-K,2024-08-09,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-25-000097,10-Q,2025-11-07,NO,YES,NO,SOURCE_GAP
AXL,0001062231-24-000050,8-K,2024-05-02,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-25-000087,10-Q,2025-08-08,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-24-000037,8-K,2024-03-20,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-23-000039,8-K,2023-05-04,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001104659-26-008377,8-K,2026-01-30,NO,YES,NO,SOURCE_GAP
AXL,0001062231-25-000064,8-K,2025-05-02,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-25-000006,8-K,2025-02-14,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-25-000085,8-K,2025-08-08,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0000947871-25-000741,8-K,2025-08-12,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-24-000054,10-Q,2024-05-03,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001104659-25-068114,8-K,2025-07-15,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-23-000064,10-Q,2023-11-03,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-23-000061,8-K,2023-11-03,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001104659-25-096647,8-K,2025-10-03,NO,YES,NO,SOURCE_GAP
AXL,0000947871-24-000495,8-K,2024-05-17,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001104659-25-016568,8-K,2025-02-24,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-24-000005,8-K,2024-02-16,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001104659-25-023238,8-K,2025-03-13,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-23-000041,8-K,2023-05-05,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-25-000091,8-K,2025-08-11,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-24-000007,10-K,2024-02-16,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-25-000008,10-K,2025-02-14,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-24-000086,8-K,2024-10-17,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-23-000013,8-K,2023-02-17,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-25-000048,8-K,2025-05-02,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-23-000053,8-K,2023-08-04,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-25-000050,10-Q,2025-05-02,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001104659-25-007242,8-K,2025-01-29,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-23-000007,8-K,2023-01-04,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-25-000023,8-K,2025-03-17,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001104659-25-066163,8-K,2025-07-07,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-23-000021,8-K,2023-03-16,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001062231-23-000016,10-K,2023-02-17,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001104659-25-091700,8-K,2025-09-19,NO,YES,NO,SOURCE_GAP
AXL,0001104659-25-057870,8-K,2025-06-09,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AXL,0001104659-26-006480,8-K,2026-01-26,NO,YES,NO,SOURCE_GAP
AXL,0001104659-25-069638,8-K,2025-07-22,NO,YES,YES,SOURCE_GAP_BUT_HAVE
AZEK,0001628280-24-035615,8-K,2024-08-07,YES,YES,NO,PIPELINE_LOST
AZEK,0001628280-24-024091,8-K,2024-05-17,YES,YES,NO,PIPELINE_LOST
AZEK,0001628280-24-035937,10-Q,2024-08-08,YES,YES,NO,PIPELINE_LOST
AZEK,0001628280-24-021679,NT 10-Q,2024-05-08,YES,NO,NO,PIPELINE_LOST
BDX,0001628280-26-024472,8-K,2026-04-09,YES,NO,NO,PIPELINE_LOST
BECN,0001124941-25-000017,8-K,2025-02-27,YES,YES,NO,PIPELINE_LOST
BECN,0001124941-24-000056,8-K,2024-05-15,YES,YES,NO,PIPELINE_LOST
BECN,0001124941-24-000017,8-K,2024-02-27,YES,YES,NO,PIPELINE_LOST
BECN,0001124941-25-000021,10-K,2025-02-27,YES,YES,NO,PIPELINE_LOST
BECN,0001124941-24-000024,10-K,2024-02-28,YES,YES,NO,PIPELINE_LOST
BERY,0001104659-25-017428,8-K,2025-02-26,YES,YES,NO,PIPELINE_LOST
BERY,0001104659-25-017233,8-K,2025-02-26,YES,YES,NO,PIPELINE_LOST
BERY,0001104659-25-017195,8-K,2025-02-26,YES,YES,NO,PIPELINE_LOST
BERY,0001104659-24-060816,8-K,2024-05-14,YES,YES,NO,PIPELINE_LOST
BERY,0001104659-24-060293,8-K,2024-05-13,YES,YES,NO,PIPELINE_LOST
BG,0001104659-23-113122,8-K,2023-11-01,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000225,8-K,2023-10-26,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000223,8-K,2023-10-13,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000221,8-K,2023-10-06,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000218,8-K/A,2023-09-08,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000168,8-K,2023-08-02,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000166,8-K,2023-07-11,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000163,8-K,2023-06-26,YES,NO,NO,PIPELINE_LOST
BG,0001104659-23-071337,8-K,2023-06-14,YES,NO,NO,PIPELINE_LOST
BG,0001104659-23-070939,8-K,2023-06-13,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000110,8-K,2023-05-15,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000094,8-K,2023-05-03,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000078,8-K,2023-03-29,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000005,8-K,2023-02-08,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000010,10-K,2023-02-24,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000227,10-Q,2023-10-26,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000170,10-Q,2023-08-09,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000096,10-Q,2023-05-03,YES,NO,NO,PIPELINE_LOST
BG,0001144519-23-000218,8-K/A,2023-09-08,YES,NO,NO,PIPELINE_LOST
BIGC,0000950170-24-018424,8-K,2024-02-22,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-24-122734,10-Q,2024-11-07,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-24-028787,8-K,2024-03-08,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-24-056275,10-Q,2024-05-09,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-23-018309,10-Q,2023-05-05,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0001193125-26-085687,10-K,2026-03-02,NO,YES,NO,SOURCE_GAP
BIGC,0000950170-24-061851,8-K,2024-05-17,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-23-038567,10-Q,2023-08-04,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-23-061112,10-Q,2023-11-08,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0001193125-26-006391,8-K,2026-01-07,NO,YES,NO,SOURCE_GAP
BIGC,0000950170-25-066365,8-K,2025-05-08,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0001193125-26-047630,8-K,2026-02-12,NO,YES,NO,SOURCE_GAP
BIGC,0001193125-25-268071,10-Q,2025-11-06,NO,YES,NO,SOURCE_GAP
BIGC,0000950170-23-023918,8-K,2023-05-24,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-24-093094,8-K,2024-08-08,NO,YES,NO,SOURCE_GAP
BIGC,0000950170-25-047873,8-K,2025-03-31,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-25-114540,8-K,2025-09-12,NO,YES,NO,SOURCE_GAP
BIGC,0001193125-24-231224,8-K,2024-10-02,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-23-066358,8-K,2023-11-28,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-23-037951,8-K,2023-08-03,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-25-100557,10-Q,2025-07-31,NO,YES,NO,SOURCE_GAP
BIGC,0001193125-23-046531,8-K,2023-02-23,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-24-022864,10-K,2024-02-29,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-25-092283,8-K,2025-07-01,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-23-036162,8-K,2023-08-01,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0001193125-23-068509,8-K,2023-03-13,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0001193125-25-268062,8-K,2025-11-06,NO,YES,NO,SOURCE_GAP
BIGC,0001193125-23-272894,8-K,2023-11-08,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0001193125-23-227637,8-K,2023-09-01,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-24-088945,8-K,2024-08-01,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-25-100556,8-K,2025-07-31,NO,YES,NO,SOURCE_GAP
BIGC,0000950170-24-088947,10-Q,2024-08-01,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-23-023102,8-K,2023-05-18,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-25-003813,8-K,2025-01-10,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-23-066034,8-K,2023-11-27,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-25-023738,8-K,2025-02-20,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-23-017853,8-K,2023-05-04,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-24-133085,8-K,2024-12-04,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-25-033858,8-K,2025-03-05,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-24-008310,8-K,2024-01-29,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0001193125-25-235862,8-K,2025-10-09,NO,YES,NO,SOURCE_GAP
BIGC,0000950170-25-029211,10-K,2025-02-27,NO,YES,YES,SOURCE_GAP_BUT_HAVE
BIGC,0000950170-24-053216,8-K,2024-05-06,NO,YES,YES,SOURCE_GAP_BUT_HAVE
