=== THREE-WAY COMPARISON SUMMARY ===
Date Range,2026-04-12 to 2026-04-19
Companies,796

=== TOTALS ===
sec-api.io filings found,119
sec-api + Neo4j (have it),119
sec-api but NOT Neo4j (PIPELINE LOST),0
EDGAR but NOT sec-api (SOURCE GAP),40275
EDGAR not sec-api not Neo4j (UNFIXABLE),40275

"=== PIPELINE GAPS BY MONTH (sec-api HAS it, we DON'T) ==="
Month,8-K,10-Q,10-K,Other,Total

"=== SOURCE GAPS BY MONTH (EDGAR has, sec-api DOESN'T, we don't) ==="
Month,8-K,10-Q,10-K,Other,Total
2023-01,613,27,16,16,672
2023-02,1020,84,497,15,1616
2023-03,713,35,130,31,909
2023-04,666,177,7,13,863
2023-05,1262,514,17,35,1828
2023-06,685,75,10,22,792
2023-07,589,172,8,15,784
2023-08,916,514,30,29,1489
2023-09,488,51,10,27,576
2023-10,694,199,11,19,923
2023-11,905,466,40,22,1433
2023-12,480,61,15,14,570
2024-01,643,32,20,17,712
2024-02,1050,85,551,46,1732
2024-03,581,31,66,18,696
2024-04,700,182,13,24,919
2024-05,1236,519,18,25,1798
2024-06,677,63,11,19,770
2024-07,690,220,8,14,932
2024-08,811,464,29,21,1325
2024-09,512,53,9,7,581
2024-10,751,281,12,16,1060
2024-11,772,378,39,37,1226
2024-12,546,71,16,15,648
2025-01,663,42,19,12,736
2025-02,1056,77,539,29,1701
2025-03,627,31,84,16,758
2025-04,692,186,13,35,926
2025-05,1236,513,17,25,1791
2025-06,712,63,9,14,798
2025-07,744,241,8,8,1001
2025-08,774,434,30,18,1256
2025-09,509,58,9,12,588
2025-10,746,283,13,15,1057
2025-11,786,362,37,8,1193
2025-12,528,69,15,14,626
2026-01,599,30,18,15,662
2026-02,1012,77,516,27,1632
2026-03,567,29,84,16,696
