exchange,symbol,name,sector,industry
NASDAQ,NDSN,Nordson Corporation - Common Stock,Industrials,Specialty Industrial Machinery
NASDAQ,KINS,"Kingstone Companies, Inc - Common Stock",Financial Services,Insurance - Property & Casualty
NYSE,ESI,Element Solutions Inc. Common Stock,Basic Materials,Specialty Chemicals
TSX,REAL,Real Matters Inc.,Real Estate,Real Estate Services
NYSE,NXRT,"NexPoint Residential Trust, Inc. Common Stock",Real Estate,REIT - Residential
NASDAQ,ALRM,"Alarm.com Holdings, Inc. - Common Stock",Technology,Software - Application
NYSE,HUM,Humana Inc. Common Stock,Healthcare,Healthcare Plans
TSXV,RVLY,Rivalry Corp.,Consumer Cyclical,Gambling
NYSE,OI,"O-I Glass, Inc. Common Stock",Consumer Cyclical,Packaging & Containers
NASDAQ,SUMR,"Summer Infant, Inc. - Common Stock",,
NASDAQ,APOG,"Apogee Enterprises, Inc. - Common Stock",Industrials,Building Products & Equipment
NYSE,PX,"P10, Inc. Class A Common Stock",Financial Services,Asset Management
NASDAQ,CASH,"Pathward Financial, Inc. - Common Stock",Financial Services,Banks - Regional
NASDAQ,FFHL,"Fuwei Films (Holdings) Co., Ltd.",,
NASDAQ,SMBC,"Southern Missouri Bancorp, Inc. - Common Stock",Financial Services,Banks - Regional
NASDAQ,GURE,"Gulf Resources, Inc. - Common Stock",Basic Materials,Chemicals
NYSE,CTS,CTS Corporation Common Stock,Technology,Electronic Components
NASDAQ,HMHC,Houghton Mifflin Harcourt Company - Common Stock,,
NASDAQ,PTCT,"PTC Therapeutics, Inc. - Common Stock",Healthcare,Biotechnology
NYSE,R,"Ryder System, Inc. Common Stock",Industrials,Rental & Leasing Services
NASDAQ,COLB,"Columbia Banking System, Inc. - Common Stock",Financial Services,Banks - Regional
NYSE,RE,"Everest Re Group, Ltd. Common Stock",,
NASDAQ,SBT,"Sterling Bancorp, Inc. - Common Stock",Financial Services,Banks - Regional
NASDAQ,NNDM,Nano Dimension Ltd. - American Depositary Shares,Technology,Computer Hardware
NASDAQ,NPCE,"Neuropace, Inc. - Common Stock",Healthcare,Medical Devices
TSX,MFI,Maple Leaf Foods Inc.,Consumer Defensive,Packaged Foods
NASDAQ,OAS,Oasis Petroleum Inc. - Common Stock,,
OTC,FFNTF,4Front Ventures Corp,Healthcare,Drug Manufacturers - Specialty & Generic
TSX,HEXO,HEXO Corp.,,
NYSE,WSM,"Williams-Sonoma, Inc. Common Stock (DE)",Consumer Cyclical,Specialty Retail
NYSE,WHD,"Cactus, Inc. Class A Common Stock",Energy,Oil & Gas Equipment & Services
AMEX,JOB,GEE Group Inc. Common Stock,Industrials,Staffing & Employment Services
NASDAQ,BRID,Bridgford Foods Corporation,,
NYSE,ERJ,Embraer S.A. Common Stock,Industrials,Aerospace & Defense
NASDAQ,RPRX,Royalty Pharma plc - Class A Ordinary Shares,Healthcare,Biotechnology
NYSE,ESRT,"Empire State Realty Trust, Inc. Class A Common Stock",Real Estate,REIT - Diversified
NASDAQ,DXPE,"DXP Enterprises, Inc. - Common Stock",Industrials,Industrial Distribution
NYSE,AMT,American Tower Corporation (REIT) Common Stock,Real Estate,REIT - Specialty
TSX,BEI.UN,Boardwalk Real Estate Investment Trust,Real Estate,REIT - Residential
NASDAQ,EZPW,"EZCORP, Inc. - Class A Non-Voting Common Stock",Financial Services,Credit Services
NASDAQ,MAXN,"Maxeon Solar Technologies, Ltd. - Ordinary Shares",Technology,Solar
NYSE,CHE,Chemed Corp,Healthcare,Medical Care Facilities
NASDAQ,NUAN,"Nuance Communications, Inc. - Common Stock",,
NASDAQ,PDCO,"Patterson Companies, Inc. - Common Stock",Healthcare,Medical Distribution
NASDAQ,CRTO,Criteo S.A. - American Depositary Shares,Communication Services,Advertising Agencies
NASDAQ,SCOR,"comScore, Inc. - Common Stock",Communication Services,Internet Content & Information
NASDAQ,ACIW,"ACI Worldwide, Inc. - Common Stock",Technology,Software - Infrastructure
NASDAQ,AXNX,"Axonics, Inc. - Common Stock",Healthcare,Medical Devices
NYSE,SSTK,"Shutterstock, Inc. Common Stock",Communication Services,Internet Content & Information
NYSE,AXP,American Express Company Common Stock,Financial Services,Credit Services
NASDAQ,SILK,"Silk Road Medical, Inc. - Common Stock",Healthcare,Medical Devices
NYSE,EVRI,Everi Holdings Inc. Common Stock,Consumer Cyclical,Gambling
NASDAQ,VTRS,Viatris Inc. - Common Stock,Healthcare,Drug Manufacturers - Specialty & Generic
TSX,MPVD,Mountain Province Diamonds Inc.,Basic Materials,Other Precious Metals & Mining
AMEX,ZDGE,"Zedge, Inc. Class B Common Stock ",Communication Services,Internet Content & Information
NASDAQ,PCRX,"Pacira BioSciences, Inc. - Common Stock",Healthcare,Drug Manufacturers - Specialty & Generic
NASDAQ,XAIR,"Beyond Air, Inc. - Common Stock",Healthcare,Medical Devices
NASDAQ,NWPX,Northwest Pipe Company - Common Stock,Industrials,Metal Fabrication
NASDAQ,BLNK,Blink Charging Co. - Common Stock,Industrials,Engineering & Construction
NYSE,CVEO,Civeo Corporation (Canada) Common Shares,Consumer Cyclical,Lodging
NASDAQ,DOCU,"DocuSign, Inc. - Common Stock",Technology,Software - Application
NASDAQ,OSW,OneSpaWorld Holdings Limited - Common Shares,Consumer Cyclical,Leisure
TSX,CNE,Canacol Energy Ltd.,Energy,Oil & Gas E&P
NYSE,STON,StoneMor Inc. Common Stock,,
NYSE,CC,Chemours Company (The) Common Stock,Basic Materials,Specialty Chemicals
NASDAQ,IQ,"iQIYI, Inc. - American Depositary Shares",Communication Services,Entertainment
NYSE,MDT,Medtronic plc. Ordinary Shares,Healthcare,Medical Devices
NASDAQ,NVVE,Nuvve Holding Corp. - Common Stock,Consumer Cyclical,Specialty Retail
NASDAQ,LRCX,Lam Research Corporation - Common Stock,Technology,Semiconductor Equipment & Materials
NASDAQ,ACB,Aurora Cannabis Inc. - Common Shares,Healthcare,Drug Manufacturers - Specialty & Generic
NASDAQ,KOPN,Kopin Corporation - Common Stock,Technology,Electronic Components
NYSE,MFA,"MFA Financial, Inc.",Real Estate,REIT - Mortgage
NYSE,BSAC,Banco Santander - Chile ADS,Financial Services,Banks - Regional
NASDAQ,HEPS,D-Market Electronic Services & Trading - American Depositary Shares,Consumer Cyclical,Internet Retail
NYSE,ARI,"Apollo Commercial Real Estate Finance, Inc",Real Estate,REIT - Mortgage
NASDAQ,TNDM,"Tandem Diabetes Care, Inc. - Common Stock",Healthcare,Medical Devices
NASDAQ,CLSN,Celsion Corporation - Common Stock,,
NASDAQ,IART,Integra LifeSciences Holdings Corporation - Common Stock,Healthcare,Medical Devices
NASDAQ,SWKH,SWK Holdings Corporation - Common Stock,Financial Services,Asset Management
NASDAQ,BFRA,Biofrontera AG,,
